Alt(km)    P(hPa)      T(K)    Density (molec/m3)
  0.0   1.01300e+003   299.7   2.44813e+025
  1.0   9.04000e+002   293.7   2.22934e+025
  2.0   8.05000e+002   287.7   2.02660e+025
  3.0   7.15000e+002   283.7   1.82541e+025
  4.0   6.33000e+002   277.0   1.65515e+025
  5.0   5.59000e+002   270.3   1.49788e+025
  6.0   4.92000e+002   263.6   1.35186e+025
  7.0   4.32000e+002   257.0   1.21748e+025
  8.0   3.78000e+002   250.3   1.09381e+025
  9.0   3.29000e+002   243.6   9.78208e+024
 10.0   2.86000e+002   237.0   8.74038e+024
 11.0   2.47000e+002   230.1   7.77487e+024
 12.0   2.13000e+002   223.6   6.89954e+024
 13.0   1.82000e+002   217.0   6.07469e+024
 14.0   1.56000e+002   210.3   5.37277e+024
 15.0   1.32000e+002   203.7   4.69349e+024
 16.0   1.11000e+002   197.0   4.08103e+024
 17.0   9.37000e+001   194.8   3.48388e+024
 18.0   7.89000e+001   198.8   2.87457e+024
 19.0   6.66000e+001   202.7   2.37976e+024
 20.0   5.65000e+001   206.7   1.97980e+024
 21.0   4.80000e+001   210.7   1.65002e+024
 22.0   4.09000e+001   214.6   1.38040e+024
 23.0   3.50000e+001   217.0   1.16821e+024
 24.0   3.00000e+001   219.2   9.91273e+023
 25.0   2.57000e+001   221.4   8.40752e+023
 27.5   1.76300e+001   227.0   5.62521e+023
 30.0   1.22000e+001   232.3   3.80385e+023
 32.5   8.52000e+000   237.7   2.59611e+023
 35.0   6.00000e+000   243.1   1.78764e+023
 37.5   4.26000e+000   248.5   1.24164e+023
 40.0   3.05000e+000   254.0   8.69719e+022
 42.5   2.20000e+000   259.4   6.14279e+022
 45.0   1.59000e+000   264.8   4.34902e+022
 47.5   1.16000e+000   269.6   3.11638e+022
 50.0   8.54000e-001   270.2   2.28921e+022
 55.0   4.56000e-001   263.4   1.25390e+022
 60.0   2.39000e-001   253.1   6.83941e+021
 65.0   1.21000e-001   236.0   3.71352e+021
 70.0   5.80000e-002   218.9   1.91909e+021
 75.0   2.60000e-002   201.8   9.33179e+020
 80.0   1.10000e-002   184.8   4.31125e+020
 85.0   4.40000e-003   177.1   1.79948e+020
 90.0   1.72000e-003   177.0   7.03830e+019
 95.0   6.88000e-004   184.3   2.70381e+019
100.0   2.89000e-004   190.7   1.09764e+019
105.0   1.30000e-004   212.0   4.44140e+018
110.0   6.47000e-005   241.6   1.93963e+018
115.0   3.60000e-005   299.7   8.70018e+017
120.0   2.25000e-005   380.0   4.28856e+017
