Alt(km)    P(hPa)      T(K)    Density (molec/m3)
  0.0   1.01800e+003   272.2   2.70877e+025
  1.0   8.97300e+002   268.7   2.41870e+025
  2.0   7.89700e+002   265.2   2.15676e+025
  3.0   6.93800e+002   261.7   1.92019e+025
  4.0   6.08100e+002   255.7   1.72249e+025
  5.0   5.31300e+002   249.7   1.54111e+025
  6.0   4.62700e+002   243.7   1.37517e+025
  7.0   4.01600e+002   237.7   1.22371e+025
  8.0   3.47300e+002   231.7   1.08565e+025
  9.0   2.99300e+002   225.7   9.60479e+024
 10.0   2.56800e+002   219.7   8.46599e+024
 11.0   2.19900e+002   219.2   7.26603e+024
 12.0   1.88200e+002   218.7   6.23280e+024
 13.0   1.61100e+002   218.2   5.34753e+024
 14.0   1.37800e+002   217.7   4.58462e+024
 15.0   1.17800e+002   217.2   3.92824e+024
 16.0   1.00700e+002   216.7   3.36576e+024
 17.0   8.61000e+001   216.2   2.88443e+024
 18.0   7.36000e+001   215.7   2.47138e+024
 19.0   6.28000e+001   215.2   2.11364e+024
 20.0   5.37000e+001   215.2   1.80736e+024
 21.0   4.58000e+001   215.2   1.54147e+024
 22.0   3.91000e+001   215.2   1.31597e+024
 23.0   3.34000e+001   215.2   1.12413e+024
 24.0   2.86000e+001   215.2   9.62579e+023
 25.0   2.44000e+001   215.2   8.21221e+023
 27.5   1.64600e+001   215.5   5.53217e+023
 30.0   1.11000e+001   217.4   3.69808e+023
 32.5   7.56000e+000   220.4   2.48441e+023
 35.0   5.18000e+000   227.9   1.64626e+023
 37.5   3.60000e+000   235.5   1.10720e+023
 40.0   2.53000e+000   243.2   7.53476e+022
 42.5   1.80000e+000   250.8   5.19826e+022
 45.0   1.29000e+000   258.5   3.61445e+022
 47.5   9.40000e-001   265.1   2.56821e+022
 50.0   6.83000e-001   265.7   1.86184e+022
 55.0   3.62000e-001   260.6   1.00611e+022
 60.0   1.88000e-001   250.8   5.42929e+021
 65.0   9.50000e-002   240.9   2.85627e+021
 70.0   4.70000e-002   230.7   1.47558e+021
 75.0   2.22000e-002   220.4   7.29548e+020
 80.0   1.03000e-002   210.1   3.55078e+020
 85.0   4.56000e-003   199.8   1.65303e+020
 90.0   1.98000e-003   199.5   7.18844e+019
 95.0   8.77000e-004   208.3   3.04946e+019
100.0   4.07400e-004   218.6   1.34984e+019
105.0   2.00000e-004   237.1   6.10958e+018
110.0   1.05700e-004   259.5   2.95019e+018
115.0   5.98000e-005   293.0   1.47824e+018
120.0   3.60000e-005   333.0   7.83016e+017
