% wavelengths for 4STARB NIR spectrometer (512 channels) derived from 96228_B130251L03_771_test-cert_20141015-120501.pdf and recorded on 2017-10-03 23:03:03.
% C0 (TOA Counts) for 4STARB NIR spectrometer (512 channels) derived from the Ames Rooftop comparison and recorded on 2017-10-03 23:03:03.
% See 4STARB_20170513.ipynb for details of the rooftop comparison and c0 file generation. Yohei Shinozuka
Pix Wavelength C0 C0err
363 1514.02  7.3637107      1e+10
362 1512.68  7.4145348      1e+10
361 1511.35   7.369365      1e+10
360 1510.01  7.4856011      1e+10
359 1508.67  7.4103138      1e+10
358 1507.33  7.3807858      1e+10
357 1505.99  7.3758846      1e+10
356 1504.65  7.4148076      1e+10
355 1503.30  7.4891931      1e+10
354 1501.96  7.5462067      1e+10
353 1500.61  7.5724191      1e+10
352 1499.27  7.5417406      1e+10
351 1497.92  7.5247455      1e+10
350 1496.57  7.4835672      1e+10
349 1495.22  7.4858488      1e+10
348 1493.87  7.4648507      1e+10
347 1492.52  7.4484155      1e+10
346 1491.17  7.4932052      1e+10
345 1489.82  7.4855302      1e+10
344 1488.46  7.4911538      1e+10
343 1487.11  7.5204877      1e+10
342 1485.75  7.4510583      1e+10
341 1484.40  7.4240633      1e+10
340 1483.04  7.3245367      1e+10
339 1481.68  7.3033734      1e+10
338 1480.32  7.1285147      1e+10
337 1478.96   7.102696      1e+10
336 1477.60  6.9992421      1e+10
335 1476.24  7.0042395      1e+10
334 1474.87  6.9155717      1e+10
333 1473.51  6.8541014      1e+10
332 1472.14  6.7409025      1e+10
331 1470.78   6.689587      1e+10
330 1469.41  6.5460062      1e+10
329 1468.04  6.4107712      1e+10
328 1466.67  6.2342088      1e+10
327 1465.30  6.0403022      1e+10
326 1463.93  5.7905776      1e+10
325 1462.55  5.5197504      1e+10
324 1461.18  5.3432842      1e+10
323 1459.81  5.1858657      1e+10
322 1458.43  4.9422859      1e+10
321 1457.05  4.8728684      1e+10
320 1455.68  4.9468084      1e+10
319 1454.30  5.1472305      1e+10
318 1452.92  5.4101511      1e+10
317 1451.54  5.5477068      1e+10
316 1450.16  5.6288334      1e+10
315 1448.77   5.680566      1e+10
314 1447.39  5.6228998      1e+10
313 1446.01  5.5234519      1e+10
312 1444.62  5.5242414      1e+10
311 1443.23  5.5534406      1e+10
310 1441.85  5.5827162      1e+10
309 1440.46  5.6468792      1e+10
308 1439.07  5.6356191      1e+10
307 1437.68  5.5427002      1e+10
306 1436.28  5.4952359      1e+10
305 1434.89   5.474189      1e+10
304 1433.50  5.3473173      1e+10
303 1432.10  5.2210599      1e+10
302 1430.71  5.1429577      1e+10
301 1429.31  5.0529999      1e+10
300 1427.91  4.9643384      1e+10
299 1426.51  4.8308799      1e+10
298 1425.11  4.6932272      1e+10
297 1423.71  4.5634023      1e+10
296 1422.31  4.4371907      1e+10
295 1420.91  4.3974346      1e+10
294 1419.50  4.2987621      1e+10
293 1418.10   4.180641      1e+10
292 1416.69   3.990761      1e+10
291 1415.29  3.8606986      1e+10
290 1413.88  3.8147386      1e+10
289 1412.47  3.7163887      1e+10
288 1411.06  3.6618933      1e+10
287 1409.65  3.5854351      1e+10
286 1408.23  3.3920444      1e+10
285 1406.82  3.3699875      1e+10
284 1405.41  3.4068917      1e+10
283 1403.99  3.2635112      1e+10
282 1402.57  3.0420308      1e+10
281 1401.16  2.7575664      1e+10
280 1399.74  2.3157849      1e+10
279 1398.32  2.0948155      1e+10
278 1396.90  2.0852524      1e+10
277 1395.48  2.1315392      1e+10
276 1394.05  2.2153723      1e+10
275 1392.63  2.2666395      1e+10
274 1391.20  2.2072216      1e+10
273 1389.78  2.1399884      1e+10
272 1388.35  1.9586425      1e+10
