Wavelength,Lamps-01,Lamps-02,Lamps-03,Lamps-04,Lamps-05,Lamps-06,Lamps-07,Lamps-08,Lamps-09,Lamps-10,Lamps-11,Lamps-12
760,71.068183,133.630065,193.348663,255.435821,316.535982,376.489003,438.746113,497.21019,556.889811,617.66139,681.360127,743.657079
770,71.930622,135.150836,195.533706,258.344763,320.135022,380.748473,443.671102,502.813705,563.192641,624.554161,688.894554,751.778148
780,72.866256,136.822179,197.94984,261.530243,324.084051,385.395764,449.081235,508.988216,570.122942,632.229397,697.351787,760.914963
790,73.519424,138.011486,199.693235,263.833112,326.948099,388.794398,453.024665,513.473591,575.170464,637.793789,703.48878,767.547554
800,74.011696,138.886526,200.966701,265.518119,329.058286,391.291951,455.928487,516.745996,578.865573,641.945135,708.021065,772.470306
810,74.338069,139.4735,201.835649,266.649357,330.492473,393.027956,457.875778,519.006343,581.443682,644.757627,711.096311,775.755438
820,74.589318,139.913555,202.484012,267.513903,331.579142,394.298877,459.329131,520.688416,583.340758,646.809697,713.438585,778.238625
830,74.905221,140.457911,203.281546,268.581374,332.902506,395.836598,461.087668,522.706438,585.605928,649.360578,716.049649,781.114677
840,75.076129,140.752188,203.69882,269.113421,333.552966,396.567954,461.920973,523.627002,586.624483,650.619585,717.464153,782.61083
850,75.3609,141.218369,204.39214,270.012174,334.667538,397.891381,463.409779,525.261555,588.633395,652.789151,719.831494,785.105974
860,75.420028,141.30593,204.548722,270.177133,334.872046,398.099292,463.626408,525.505283,588.903986,653.052579,720.078413,785.584419
870,75.320296,141.101141,204.218098,269.748724,334.31071,397.449145,462.814959,524.494722,587.864315,652.090712,718.85088,784.399515
880,75.221245,140.872025,203.917478,269.374344,333.825454,396.861768,462.070186,523.55745,587.032895,651.061108,717.783694,783.134761
890,74.99028,140.443218,203.297995,268.550955,332.829973,395.61482,460.612055,522.198451,585.26309,649.140088,715.76453,780.752522
900,74.676127,139.841162,202.43675,267.425225,331.475286,393.987604,458.575612,520.092526,582.955424,646.425267,712.881115,777.781687
910,74.190597,138.912259,201.115396,265.689128,329.317732,391.41891,455.616329,516.763955,579.132564,642.198211,708.138891,772.797008
920,73.584401,137.764598,199.482593,263.523645,326.666082,388.261332,451.958721,512.638272,574.579106,637.101119,702.528053,766.663116
930,72.325145,135.456809,196.151788,259.106514,321.325455,381.925246,444.598514,504.428443,565.274519,626.671628,691.36976,754.547548
940,71.221855,133.422472,193.217114,255.241805,316.639042,376.353333,438.044356,497.343716,557.224727,617.710485,681.617504,743.780223
950,70.805882,132.632761,192.123647,253.814001,314.819942,374.215958,435.607235,494.25642,554.05529,614.165423,677.558716,739.283772
960,70.485824,132.036446,191.307992,252.741893,313.389496,372.539254,433.643365,491.897824,551.530687,611.294825,674.211301,735.636122
970,69.974337,131.104362,190.012726,251.081923,311.270838,370.031705,430.721994,488.537198,547.662147,607.307111,669.742432,730.597234
980,69.403236,130.029946,188.497755,249.106617,308.858477,367.155481,427.371538,484.85629,543.507311,602.775374,664.582027,725.030518
990,68.947398,129.192497,187.302514,247.5178,306.904169,364.887199,424.722849,481.77446,540.132799,599.023686,660.627004,720.665535
1000,68.441021,128.259402,185.985214,245.793125,304.804976,362.384062,421.784176,478.566851,536.623643,594.92813,656.00787,716.029512
1010,67.910984,127.26071,184.560742,243.940943,302.513517,359.684759,417.583797,474.906129,532.62489,590.826802,651.192231,710.577982
1020,67.4304,126.351158,183.306966,242.197084,300.363355,357.102896,415.661616,471.866334,529.122152,586.690707,646.804939,706.08405
1030,66.978964,125.513634,182.083788,240.613592,298.421197,354.770151,413.03371,468.482296,525.919728,584.99843,642.755635,701.465902
1040,66.477855,124.498967,180.62803,238.621646,296.026827,351.579066,409.707198,464.777324,521.514374,578.354429,637.645637,696.496021
1050,66.861939,125.209866,181.270364,239.58414,297.15456,353.143078,410.789045,466.270872,522.263048,578.804354,637.809792,694.928763
1060,66.09544,123.928801,179.559457,237.437412,294.572086,349.832989,407.141746,461.549499,517.49302,573.306181,631.576991,688.47821
1070,65.30683,122.4089,177.573175,234.529117,290.800505,345.561698,402.070517,456.028739,511.157115,566.217931,624.040528,680.516536
1080,64.719154,120.966696,175.533037,231.946214,287.894192,341.922369,397.893125,451.185018,505.578225,560.279584,617.750074,672.967709
1090,63.823742,119.457421,173.410972,228.830353,283.988997,337.375238,392.578064,445.075655,498.960664,552.842275,609.43048,664.27646
1100,62.725534,117.491328,170.972368,225.688839,280.063541,332.720939,387.135686,439.014126,492.217615,545.437492,600.88455,654.942858
1110,61.359951,114.796888,166.825322,220.553351,273.495927,324.898389,378.019624,429.007596,481.057651,532.856284,587.374314,640.387054
1120,58.909593,110.45396,160.338023,211.808154,263.039434,312.623495,363.436354,412.866783,462.778885,512.546089,565.304565,616.373213
1130,57.723533,108.084709,156.738961,207.157123,257.458336,305.856122,355.795915,403.979382,452.738719,501.430053,553.072135,603.163727
1140,56.492274,105.980752,154.111311,203.415835,252.833568,300.50168,349.472272,396.938809,444.679375,492.470399,543.132777,592.398228
1150,55.141465,103.533963,150.402005,198.907195,246.854215,293.246407,341.26165,387.336583,434.163394,481.04076,530.37882,578.051397
1160,53.95388,102.045905,147.972632,195.677405,242.917649,288.539184,335.666866,381.108559,427.099041,473.232317,521.409979,568.630027
1170,53.079717,99.577293,144.860801,191.601573,237.888896,282.612142,328.997002,373.382423,418.751479,463.955562,511.243315,557.101347
1180,51.365262,96.653196,140.507622,185.844784,230.875671,274.305798,319.185974,362.23493,406.257144,450.457352,496.257532,540.969028
1190,49.73165,93.499319,136.089588,180.260511,223.612378,265.769678,309.316118,351.094995,393.850968,436.459225,481.107975,524.400941
1200,48.18504,90.692046,132.133487,174.743627,217.267746,258.010792,300.148865,340.871392,382.280252,423.764874,467.133559,508.867698
1210,47.656849,89.581693,130.474241,172.70593,214.385803,254.683239,296.358105,336.659362,377.499126,418.311616,461.054011,502.4979
1220,47.519239,89.525228,130.194153,172.162804,213.738434,254.136728,295.751621,335.645608,376.675944,417.230359,459.941808,501.178669
1230,47.421913,88.820541,129.600259,171.311793,212.892419,253.025588,294.452845,334.070143,374.78858,415.619337,458.095315,499.074227
1240,47.042538,88.301983,128.475471,169.93594,211.226109,250.781686,291.984342,331.364893,371.603827,412.030616,454.104621,494.746951
1250,46.618421,87.428994,127.004403,168.027355,208.723642,248.104938,288.611867,327.453777,367.553707,407.411543,449.138783,489.090751
