Alt(km)    P(hPa)      T(K)    Density (molec/m3)
  0.0   1.01300e+003   288.2   2.54582e+025
  1.0   8.98800e+002   281.7   2.31094e+025
  2.0   7.95000e+002   275.2   2.09234e+025
  3.0   7.01200e+002   268.7   1.89011e+025
  4.0   6.16600e+002   262.2   1.70327e+025
  5.0   5.40500e+002   255.7   1.53101e+025
  6.0   4.72200e+002   249.2   1.37243e+025
  7.0   4.11100e+002   242.7   1.22685e+025
  8.0   3.56500e+002   236.2   1.09318e+025
  9.0   3.08000e+002   229.7   9.71186e+024
 10.0   2.65000e+002   223.3   8.59547e+024
 11.0   2.27000e+002   216.8   7.58367e+024
 12.0   1.94000e+002   216.7   6.48419e+024
 13.0   1.65800e+002   216.7   5.54164e+024
 14.0   1.41700e+002   216.7   4.73613e+024
 15.0   1.21100e+002   216.7   4.04760e+024
 16.0   1.03500e+002   216.7   3.45935e+024
 17.0   8.85000e+001   216.7   2.95799e+024
 18.0   7.56500e+001   216.7   2.52850e+024
 19.0   6.46700e+001   216.7   2.16151e+024
 20.0   5.52900e+001   216.7   1.84799e+024
 21.0   4.72900e+001   217.6   1.57407e+024
 22.0   4.04700e+001   218.6   1.34090e+024
 23.0   3.46700e+001   219.6   1.14349e+024
 24.0   2.97200e+001   220.6   9.75789e+023
 25.0   2.54900e+001   221.6   8.33130e+023
 27.5   1.74300e+001   224.0   5.63588e+023
 30.0   1.19700e+001   226.5   3.82771e+023
 32.5   8.01000e+000   230.0   2.52242e+023
 35.0   5.74600e+000   236.5   1.75973e+023
 37.5   4.15000e+000   242.9   1.23747e+023
 40.0   2.87100e+000   250.4   8.30446e+022
 42.5   2.06000e+000   257.3   5.79883e+022
 45.0   1.49100e+000   264.2   4.08750e+022
 47.5   1.09000e+000   270.6   2.91750e+022
 50.0   7.97800e-001   270.7   2.13461e+022
 55.0   4.25000e-001   260.8   1.18030e+022
 60.0   2.19000e-001   247.0   6.42184e+021
 65.0   1.09000e-001   233.3   3.38395e+021
 70.0   5.22000e-002   219.6   1.72167e+021
 75.0   2.40000e-002   208.4   8.34115e+020
 80.0   1.05000e-002   198.6   3.82933e+020
 85.0   4.46000e-003   188.9   1.71008e+020
 90.0   1.84000e-003   186.9   7.13052e+019
 95.0   7.60000e-004   188.4   2.92177e+019
100.0   3.20000e-004   195.1   1.18797e+019
105.0   1.45000e-004   208.8   5.02979e+018
110.0   7.10000e-005   240.0   2.14269e+018
115.0   4.01000e-005   300.0   9.68135e+017
120.0   2.54000e-005   360.0   5.11027e+017
