% hyscan_SZA_69_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 20.7, -0.3, 10.7, -0.3, 10.7 
7.0, 20.8, -0.2, 7.5, 0.2, -3.2 
5.0, 20.9, -0.1, 5.4, 0.1, -2.1 
3.5, 21.0, -0.0, 3.7, 0.0, -1.6 
3.0, 21.0, -0.0, -3.2, 0.0, -7.0 
3.5, 21.0, -0.0, -3.7, -0.0, -0.5 
4.0, 20.9, -0.1, -4.3, -0.0, -0.5 
5.0, 20.9, -0.1, -5.4, -0.0, -1.1 
6.0, 20.9, -0.1, -6.4, -0.0, -1.1 
7.0, 20.8, -0.2, -7.5, -0.0, -1.1 
8.0, 20.8, -0.2, -8.6, -0.1, -1.1 
10.0, 20.7, -0.3, -10.7, -0.1, -2.1 
12.0, 20.5, -0.5, -12.8, -0.1, -2.1 
14.0, 20.3, -0.7, -15.0, -0.2, -2.1 
16.0, 20.2, -0.8, -17.1, -0.2, -2.1 
18.0, 19.9, -1.1, -19.2, -0.2, -2.1 
20.0, 19.7, -1.3, -21.3, -0.2, -2.1 
25.0, 19.0, -2.0, -26.5, -0.7, -5.2 
30.0, 18.1, -2.9, -31.7, -0.9, -5.2 
35.0, 17.1, -3.9, -36.9, -1.0, -5.1 
40.0, 15.9, -5.1, -41.9, -1.1, -5.1 
45.0, 14.7, -6.3, -47.0, -1.3, -5.0 
49.9, 14.7, -6.3, -52.2, 0.0, -5.3 
59.9, 14.7, -6.3, -63.0, 0.0, -10.8 
70.1, 14.7, -6.3, -74.0, 0.0, -11.0 
80.0, 14.7, -6.3, -84.7, 0.0, -10.8 
90.0, 14.7, -6.3, -95.7, 0.0, -11.0 
99.9, 14.7, -6.3, -107.0, 0.0, -11.3 
120.1, 14.7, -6.3, -131.0, 0.0, -24.0 
139.9, 14.7, -6.3, -161.5, -0.0, -30.5 
144.3, 14.7, -6.3, -180.0, 0.0, -18.5 
NaN, NaN, NaN, NaN, NaN, NaN 
