% hyscan_SZA_4_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 79.2, -6.8, 68.4, -6.8, 68.4 
7.0, 81.9, -4.1, 60.4, 2.7, -8.0 
5.0, 83.6, -2.4, 51.4, 1.7, -9.0 
3.5, 84.7, -1.3, 41.2, 1.1, -10.2 
3.0, 85.0, -1.0, -36.9, 0.3, -78.2 
3.5, 84.7, -1.3, -41.2, -0.3, -4.3 
4.0, 84.3, -1.7, -45.1, -0.3, -3.8 
5.0, 83.6, -2.4, -51.4, -0.7, -6.4 
6.0, 82.8, -3.2, -56.4, -0.8, -5.0 
7.0, 81.9, -4.1, -60.4, -0.9, -4.0 
8.0, 81.1, -4.9, -63.6, -0.9, -3.2 
10.0, 79.2, -6.8, -68.4, -1.8, -4.8 
12.0, 77.4, -8.6, -71.8, -1.9, -3.4 
14.0, 75.5, -10.5, -74.4, -1.9, -2.5 
16.0, 73.5, -12.5, -76.3, -1.9, -2.0 
18.0, 71.6, -14.4, -77.9, -1.9, -1.6 
20.0, 69.6, -16.4, -79.2, -2.0, -1.3 
25.0, 64.7, -21.3, -81.5, -4.9, -2.3 
30.0, 59.8, -26.2, -83.1, -4.9, -1.6 
35.0, 54.8, -31.2, -84.3, -5.0, -1.2 
40.0, 49.8, -36.2, -85.2, -5.0, -0.9 
45.0, 44.9, -41.1, -86.0, -5.0, -0.8 
50.0, 39.9, -46.1, -86.7, -5.0, -0.6 
60.0, 29.9, -56.1, -87.7, -10.0, -1.0 
70.0, 19.9, -66.1, -88.5, -10.0, -0.9 
80.0, 10.0, -76.0, -89.3, -10.0, -0.7 
84.0, 10.0, -76.0, -180.0, 0.0, -90.7 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
