% hyscan_SZA_17p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 69.9, -2.6, 30.4, -2.6, 30.4 
7.0, 71.2, -1.3, 22.2, 1.3, -8.2 
5.0, 71.8, -0.7, 16.2, 0.6, -6.0 
3.5, 72.2, -0.3, 11.5, 0.3, -4.7 
3.0, 72.3, -0.2, -9.9, 0.1, -21.4 
3.5, 72.2, -0.3, -11.5, -0.1, -1.6 
4.0, 72.1, -0.4, -13.1, -0.1, -1.6 
5.0, 71.8, -0.7, -16.2, -0.2, -3.1 
6.0, 71.5, -1.0, -19.3, -0.3, -3.0 
7.0, 71.2, -1.3, -22.2, -0.3, -2.9 
8.0, 70.8, -1.7, -25.0, -0.4, -2.8 
10.0, 69.9, -2.6, -30.4, -0.9, -5.3 
12.0, 68.9, -3.6, -35.3, -1.0, -4.9 
14.0, 67.7, -4.8, -39.7, -1.2, -4.4 
16.0, 66.5, -6.0, -43.6, -1.3, -4.0 
18.0, 65.1, -7.4, -47.2, -1.4, -3.6 
20.0, 63.7, -8.8, -50.4, -1.4, -3.2 
25.0, 59.8, -12.7, -57.2, -3.9, -6.7 
30.0, 55.7, -16.8, -62.5, -4.1, -5.3 
35.0, 51.4, -21.1, -66.8, -4.3, -4.3 
40.0, 46.9, -25.6, -70.3, -4.4, -3.5 
45.0, 42.4, -30.1, -73.3, -4.5, -3.0 
50.0, 37.8, -34.7, -75.8, -4.6, -2.6 
60.0, 28.5, -44.0, -80.2, -9.3, -4.3 
70.0, 19.0, -53.5, -83.8, -9.4, -3.6 
80.0, 9.5, -63.0, -87.0, -9.5, -3.2 
90.0, 9.5, -63.0, -122.2, -0.0, -35.3 
98.0, 9.5, -63.0, -180.0, 0.0, -57.8 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
