% hyscan_SZA_11p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 74.8, -3.7, 41.5, -3.7, 41.5 
7.0, 76.6, -1.9, 31.6, 1.8, -9.9 
5.0, 77.5, -1.0, 23.7, 0.9, -7.9 
3.5, 78.0, -0.5, 17.1, 0.5, -6.6 
3.0, 78.1, -0.4, -14.7, 0.1, -31.8 
3.5, 78.0, -0.5, -17.1, -0.1, -2.3 
4.0, 77.8, -0.7, -19.3, -0.2, -2.3 
5.0, 77.5, -1.0, -23.7, -0.4, -4.4 
6.0, 77.0, -1.5, -27.8, -0.4, -4.1 
7.0, 76.6, -1.9, -31.6, -0.5, -3.8 
8.0, 76.0, -2.5, -35.2, -0.5, -3.6 
10.0, 74.8, -3.7, -41.5, -1.2, -6.3 
12.0, 73.4, -5.1, -46.8, -1.4, -5.3 
14.0, 72.0, -6.5, -51.4, -1.5, -4.5 
16.0, 70.4, -8.1, -55.2, -1.6, -3.8 
18.0, 68.7, -9.8, -58.5, -1.6, -3.3 
20.0, 67.0, -11.5, -61.3, -1.7, -2.8 
25.0, 62.6, -15.9, -66.9, -4.4, -5.6 
30.0, 58.1, -20.4, -70.9, -4.6, -4.1 
35.0, 53.4, -25.1, -74.1, -4.7, -3.2 
40.0, 48.6, -29.9, -76.6, -4.7, -2.5 
45.0, 43.9, -34.6, -78.7, -4.8, -2.1 
50.0, 39.0, -39.5, -80.5, -4.8, -1.8 
60.0, 29.3, -49.2, -83.4, -9.7, -2.9 
70.0, 19.6, -58.9, -85.8, -9.8, -2.4 
80.0, 9.8, -68.7, -88.0, -9.8, -2.1 
90.0, 9.8, -68.7, -148.0, 0.0, -60.0 
91.7, 9.8, -68.7, -180.0, 0.0, -32.0 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
