% hyscan_SZA_62_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 27.5, -0.5, 11.3, -0.5, 11.3 
7.0, 27.8, -0.2, 7.9, 0.2, -3.4 
5.0, 27.9, -0.1, 5.7, 0.1, -2.3 
3.5, 27.9, -0.1, 4.0, 0.1, -1.7 
3.0, 28.0, -0.0, -3.4, 0.0, -7.4 
3.5, 27.9, -0.1, -4.0, -0.0, -0.6 
4.0, 27.9, -0.1, -4.5, -0.0, -0.6 
5.0, 27.9, -0.1, -5.7, -0.0, -1.1 
6.0, 27.8, -0.2, -6.8, -0.1, -1.1 
7.0, 27.8, -0.2, -7.9, -0.1, -1.1 
8.0, 27.7, -0.3, -9.0, -0.1, -1.1 
10.0, 27.5, -0.5, -11.3, -0.2, -2.2 
12.0, 27.3, -0.7, -13.5, -0.2, -2.2 
14.0, 27.1, -0.9, -15.8, -0.2, -2.2 
16.0, 26.8, -1.2, -18.0, -0.3, -2.2 
18.0, 26.5, -1.5, -20.2, -0.3, -2.2 
20.0, 26.2, -1.8, -22.4, -0.3, -2.2 
25.0, 25.2, -2.8, -27.8, -1.0, -5.4 
30.0, 24.0, -4.0, -33.2, -1.2, -5.3 
35.0, 22.6, -5.4, -38.4, -1.4, -5.2 
40.0, 21.1, -6.9, -43.5, -1.5, -5.1 
45.0, 19.4, -8.6, -48.6, -1.7, -5.0 
50.0, 17.6, -10.4, -53.5, -1.8, -4.9 
60.0, 13.6, -14.4, -63.0, -4.0, -9.5 
69.9, 13.6, -14.4, -74.2, 0.0, -11.3 
80.0, 13.6, -14.4, -85.7, 0.0, -11.5 
90.1, 13.6, -14.4, -97.5, 0.0, -11.8 
99.9, 13.6, -14.4, -109.2, 0.0, -11.8 
119.9, 13.6, -14.4, -135.2, 0.0, -26.0 
138.4, 13.6, -14.4, -180.0, -0.0, -44.8 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
