% hyscan_SZA_58_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 31.5, -0.5, 11.7, -0.5, 11.7 
7.0, 31.7, -0.3, 8.2, 0.3, -3.5 
5.0, 31.9, -0.1, 5.9, 0.1, -2.3 
3.5, 31.9, -0.1, 4.1, 0.1, -1.8 
3.0, 32.0, -0.0, -3.5, 0.0, -7.7 
3.5, 31.9, -0.1, -4.1, -0.0, -0.6 
4.0, 31.9, -0.1, -4.7, -0.0, -0.6 
5.0, 31.9, -0.1, -5.9, -0.0, -1.2 
6.0, 31.8, -0.2, -7.1, -0.1, -1.2 
7.0, 31.7, -0.3, -8.2, -0.1, -1.2 
8.0, 31.7, -0.3, -9.4, -0.1, -1.2 
10.0, 31.5, -0.5, -11.7, -0.2, -2.3 
12.0, 31.2, -0.8, -14.1, -0.2, -2.3 
14.0, 30.9, -1.1, -16.4, -0.3, -2.3 
16.0, 30.6, -1.4, -18.7, -0.3, -2.3 
18.0, 30.3, -1.7, -21.0, -0.4, -2.3 
20.0, 29.9, -2.1, -23.2, -0.4, -2.3 
25.0, 28.7, -3.3, -28.8, -1.2, -5.6 
30.0, 27.3, -4.7, -34.2, -1.4, -5.4 
35.0, 25.7, -6.3, -39.5, -1.6, -5.3 
40.0, 24.0, -8.0, -44.7, -1.8, -5.2 
45.0, 22.0, -10.0, -49.7, -1.9, -5.0 
50.0, 19.9, -12.1, -54.6, -2.1, -4.9 
60.0, 15.4, -16.6, -63.9, -4.6, -9.3 
70.0, 10.4, -21.6, -72.8, -4.9, -8.9 
79.9, 10.4, -21.6, -84.6, 0.0, -11.8 
90.0, 10.4, -21.6, -96.6, 0.0, -12.0 
100.0, 10.4, -21.6, -108.8, -0.0, -12.3 
120.0, 10.4, -21.6, -135.6, 0.0, -26.8 
137.6, 10.4, -21.6, -180.0, 0.0, -44.4 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
