% hyscan_SZA_13p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 73.3, -3.2, 37.1, -3.2, 37.1 
7.0, 74.8, -1.7, 27.7, 1.6, -9.3 
5.0, 75.6, -0.9, 20.5, 0.8, -7.2 
3.5, 76.1, -0.4, 14.7, 0.4, -5.9 
3.0, 76.2, -0.3, -12.7, 0.1, -27.3 
3.5, 76.1, -0.4, -14.7, -0.1, -2.0 
4.0, 75.9, -0.6, -16.7, -0.1, -2.0 
5.0, 75.6, -0.9, -20.5, -0.3, -3.9 
6.0, 75.2, -1.3, -24.2, -0.4, -3.7 
7.0, 74.8, -1.7, -27.7, -0.4, -3.5 
8.0, 74.3, -2.2, -31.0, -0.5, -3.3 
10.0, 73.3, -3.2, -37.1, -1.1, -6.0 
12.0, 72.0, -4.5, -42.3, -1.2, -5.3 
14.0, 70.6, -5.9, -46.9, -1.4, -4.6 
16.0, 69.2, -7.3, -50.9, -1.5, -4.0 
18.0, 67.6, -8.9, -54.3, -1.5, -3.5 
20.0, 66.0, -10.5, -57.3, -1.6, -3.0 
25.0, 61.8, -14.7, -63.4, -4.2, -6.1 
30.0, 57.4, -19.1, -68.0, -4.4, -4.6 
35.0, 52.8, -23.7, -71.6, -4.6, -3.6 
40.0, 48.1, -28.4, -74.5, -4.7, -2.9 
45.0, 43.4, -33.1, -76.9, -4.7, -2.4 
50.0, 38.7, -37.8, -78.9, -4.8, -2.1 
60.0, 29.1, -47.4, -82.3, -9.6, -3.4 
70.0, 19.4, -57.1, -85.1, -9.7, -2.8 
80.0, 9.7, -66.8, -87.6, -9.7, -2.5 
90.0, 9.7, -66.8, -135.6, 0.0, -48.0 
93.8, 9.7, -66.8, -180.0, 0.0, -44.4 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
