% hyscan_SZA_27_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 61.3, -1.7, 21.2, -1.7, 21.2 
7.0, 62.2, -0.8, 15.1, 0.8, -6.1 
5.0, 62.6, -0.4, 10.9, 0.4, -4.2 
3.5, 62.8, -0.2, 7.7, 0.2, -3.2 
3.0, 62.8, -0.2, -6.6, 0.1, -14.3 
3.5, 62.8, -0.2, -7.7, -0.1, -1.1 
4.0, 62.7, -0.3, -8.8, -0.1, -1.1 
5.0, 62.6, -0.4, -10.9, -0.2, -2.2 
6.0, 62.4, -0.6, -13.0, -0.2, -2.1 
7.0, 62.2, -0.8, -15.1, -0.2, -2.1 
8.0, 61.9, -1.1, -17.2, -0.2, -2.1 
10.0, 61.3, -1.7, -21.2, -0.6, -4.0 
12.0, 60.6, -2.4, -25.1, -0.7, -3.9 
14.0, 59.8, -3.2, -28.8, -0.8, -3.7 
16.0, 58.9, -4.1, -32.3, -0.9, -3.5 
18.0, 57.9, -5.1, -35.6, -1.0, -3.3 
20.0, 56.9, -6.1, -38.7, -1.1, -3.1 
25.0, 53.9, -9.1, -45.8, -3.0, -7.0 
30.0, 50.5, -12.5, -51.8, -3.4, -6.1 
35.0, 46.9, -16.1, -57.0, -3.6, -5.2 
40.0, 43.0, -20.0, -61.6, -3.8, -4.5 
45.0, 39.1, -23.9, -65.6, -4.0, -4.0 
50.0, 34.9, -28.1, -69.1, -4.1, -3.6 
60.0, 26.5, -36.5, -75.3, -8.5, -6.2 
70.0, 17.7, -45.3, -80.6, -8.7, -5.3 
80.0, 8.9, -54.1, -85.4, -8.8, -4.8 
90.0, 8.9, -54.1, -107.9, 0.0, -22.5 
100.0, 8.9, -54.1, -133.9, 0.0, -26.0 
108.1, 8.9, -54.1, -180.0, 0.0, -46.1 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
