% hyscan_SZA_8p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 76.9, -4.6, 50.0, -4.6, 50.0 
7.0, 79.0, -2.5, 39.7, 2.1, -10.3 
5.0, 80.1, -1.4, 30.6, 1.1, -9.1 
3.5, 80.8, -0.7, 22.5, 0.7, -8.1 
3.0, 81.0, -0.5, -19.5, 0.2, -42.0 
3.5, 80.8, -0.7, -22.5, -0.2, -3.0 
4.0, 80.6, -0.9, -25.3, -0.2, -2.8 
5.0, 80.1, -1.4, -30.6, -0.5, -5.3 
6.0, 79.6, -1.9, -35.4, -0.5, -4.8 
7.0, 79.0, -2.5, -39.7, -0.6, -4.3 
8.0, 78.3, -3.2, -43.6, -0.7, -3.8 
10.0, 76.9, -4.6, -50.0, -1.4, -6.5 
12.0, 75.3, -6.2, -55.2, -1.6, -5.2 
14.0, 73.7, -7.8, -59.3, -1.7, -4.2 
16.0, 71.9, -9.6, -62.7, -1.7, -3.4 
18.0, 70.2, -11.3, -65.5, -1.8, -2.8 
20.0, 68.3, -13.2, -67.9, -1.8, -2.4 
25.0, 63.7, -17.8, -72.4, -4.7, -4.5 
30.0, 58.9, -22.6, -75.6, -4.8, -3.2 
35.0, 54.1, -27.4, -78.1, -4.8, -2.4 
40.0, 49.3, -32.2, -80.0, -4.9, -1.9 
45.0, 44.4, -37.1, -81.6, -4.9, -1.6 
50.0, 39.5, -42.0, -82.9, -4.9, -1.3 
60.0, 29.6, -51.9, -85.1, -9.8, -2.2 
70.0, 19.8, -61.7, -86.9, -9.9, -1.8 
80.0, 9.9, -71.6, -88.5, -9.9, -1.6 
88.6, 9.9, -71.6, -180.0, 0.0, -91.5 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
