% hyscan_SZA_19_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 68.6, -2.4, 28.4, -2.4, 28.4 
7.0, 69.8, -1.2, 20.7, 1.2, -7.8 
5.0, 70.4, -0.6, 15.0, 0.6, -5.6 
3.5, 70.7, -0.3, 10.6, 0.3, -4.4 
3.0, 70.8, -0.2, -9.1, 0.1, -19.8 
3.5, 70.7, -0.3, -10.6, -0.1, -1.5 
4.0, 70.6, -0.4, -12.1, -0.1, -1.5 
5.0, 70.4, -0.6, -15.0, -0.2, -2.9 
6.0, 70.1, -0.9, -17.9, -0.3, -2.9 
7.0, 69.8, -1.2, -20.7, -0.3, -2.8 
8.0, 69.4, -1.6, -23.3, -0.4, -2.7 
10.0, 68.6, -2.4, -28.4, -0.8, -5.1 
12.0, 67.6, -3.4, -33.1, -1.0, -4.7 
14.0, 66.6, -4.4, -37.4, -1.1, -4.3 
16.0, 65.4, -5.6, -41.4, -1.2, -3.9 
18.0, 64.1, -6.9, -44.9, -1.3, -3.6 
20.0, 62.7, -8.3, -48.2, -1.4, -3.2 
25.0, 59.0, -12.0, -55.1, -3.7, -6.9 
30.0, 55.0, -16.0, -60.6, -4.0, -5.5 
35.0, 50.8, -20.2, -65.1, -4.2, -4.5 
40.0, 46.4, -24.6, -68.8, -4.4, -3.7 
45.0, 42.0, -29.0, -72.0, -4.5, -3.2 
50.0, 37.4, -33.6, -74.7, -4.5, -2.8 
60.0, 28.2, -42.8, -79.4, -9.2, -4.6 
70.0, 18.9, -52.1, -83.2, -9.3, -3.9 
80.0, 9.5, -61.5, -86.7, -9.4, -3.5 
90.0, 9.5, -61.5, -119.0, 0.0, -32.3 
99.5, 9.5, -61.5, -180.0, 0.0, -61.0 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
