% hyscan_SZA_42p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 46.6, -0.9, 14.6, -0.9, 14.6 
7.0, 47.0, -0.5, 10.3, 0.5, -4.3 
5.0, 47.3, -0.2, 7.4, 0.2, -2.9 
3.5, 47.4, -0.1, 5.2, 0.1, -2.2 
3.0, 47.4, -0.1, -4.4, 0.0, -9.6 
3.5, 47.4, -0.1, -5.2, -0.0, -0.7 
4.0, 47.3, -0.2, -5.9, -0.0, -0.7 
5.0, 47.3, -0.2, -7.4, -0.1, -1.5 
6.0, 47.2, -0.3, -8.8, -0.1, -1.5 
7.0, 47.0, -0.5, -10.3, -0.1, -1.5 
8.0, 46.9, -0.6, -11.8, -0.1, -1.5 
10.0, 46.6, -0.9, -14.6, -0.3, -2.9 
12.0, 46.2, -1.3, -17.5, -0.4, -2.8 
14.0, 45.7, -1.8, -20.3, -0.5, -2.8 
16.0, 45.1, -2.4, -23.0, -0.5, -2.7 
18.0, 44.5, -3.0, -25.7, -0.6, -2.7 
20.0, 43.9, -3.6, -28.3, -0.7, -2.6 
25.0, 41.9, -5.6, -34.6, -1.9, -6.3 
30.0, 39.7, -7.8, -40.5, -2.2, -5.9 
35.0, 37.2, -10.3, -46.0, -2.5, -5.5 
40.0, 34.4, -13.1, -51.2, -2.8, -5.1 
45.0, 31.4, -16.1, -56.0, -3.0, -4.8 
50.0, 28.3, -19.2, -60.5, -3.1, -4.5 
60.0, 21.6, -25.9, -68.7, -6.7, -8.2 
70.0, 14.6, -32.9, -76.2, -7.0, -7.5 
80.1, 14.6, -32.9, -91.2, 0.0, -15.0 
89.9, 14.6, -32.9, -106.4, 0.0, -15.3 
100.0, 14.6, -32.9, -123.4, 0.0, -17.0 
117.9, 14.6, -32.9, -180.0, 0.0, -56.6 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
