% hyscan_SZA_68_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 21.6, -0.4, 10.8, -0.4, 10.8 
7.0, 21.8, -0.2, 7.5, 0.2, -3.2 
5.0, 21.9, -0.1, 5.4, 0.1, -2.2 
3.5, 22.0, -0.0, 3.8, 0.0, -1.6 
3.0, 22.0, -0.0, -3.2, 0.0, -7.0 
3.5, 22.0, -0.0, -3.8, -0.0, -0.5 
4.0, 21.9, -0.1, -4.3, -0.0, -0.5 
5.0, 21.9, -0.1, -5.4, -0.0, -1.1 
6.0, 21.9, -0.1, -6.5, -0.0, -1.1 
7.0, 21.8, -0.2, -7.5, -0.0, -1.1 
8.0, 21.8, -0.2, -8.6, -0.1, -1.1 
10.0, 21.6, -0.4, -10.8, -0.1, -2.1 
12.0, 21.5, -0.5, -12.9, -0.2, -2.1 
14.0, 21.3, -0.7, -15.1, -0.2, -2.1 
16.0, 21.1, -0.9, -17.2, -0.2, -2.1 
18.0, 20.9, -1.1, -19.3, -0.2, -2.1 
20.0, 20.6, -1.4, -21.4, -0.3, -2.1 
25.0, 19.8, -2.2, -26.7, -0.8, -5.3 
30.0, 18.9, -3.1, -31.9, -0.9, -5.2 
35.0, 17.9, -4.1, -37.1, -1.1, -5.1 
40.0, 16.7, -5.3, -42.1, -1.2, -5.1 
45.0, 15.4, -6.6, -47.2, -1.3, -5.0 
50.0, 13.9, -8.1, -52.1, -1.4, -5.0 
60.0, 13.9, -8.1, -62.9, -0.0, -10.8 
70.1, 13.9, -8.1, -73.9, 0.0, -11.0 
79.9, 13.9, -8.1, -84.6, 0.0, -10.8 
90.1, 13.9, -8.1, -95.9, 0.0, -11.3 
100.1, 13.9, -8.1, -107.1, 0.0, -11.3 
119.9, 13.9, -8.1, -130.9, 0.0, -23.8 
140.0, 13.9, -8.1, -162.1, -0.0, -31.3 
144.1, 13.9, -8.1, -180.0, 0.0, -17.9 
NaN, NaN, NaN, NaN, NaN, NaN 
