% hyscan_SZA_54p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 34.9, -0.6, 12.2, -0.6, 12.2 
7.0, 35.2, -0.3, 8.6, 0.3, -3.6 
5.0, 35.3, -0.2, 6.1, 0.1, -2.4 
3.5, 35.4, -0.1, 4.3, 0.1, -1.8 
3.0, 35.4, -0.1, -3.7, 0.0, -8.0 
3.5, 35.4, -0.1, -4.3, -0.0, -0.6 
4.0, 35.4, -0.1, -4.9, -0.0, -0.6 
5.0, 35.3, -0.2, -6.1, -0.1, -1.2 
6.0, 35.3, -0.2, -7.4, -0.1, -1.2 
7.0, 35.2, -0.3, -8.6, -0.1, -1.2 
8.0, 35.1, -0.4, -9.8, -0.1, -1.2 
10.0, 34.9, -0.6, -12.2, -0.2, -2.4 
12.0, 34.6, -0.9, -14.6, -0.3, -2.4 
14.0, 34.3, -1.2, -17.0, -0.3, -2.4 
16.0, 33.9, -1.6, -19.4, -0.4, -2.4 
18.0, 33.5, -2.0, -21.8, -0.4, -2.4 
20.0, 33.1, -2.4, -24.1, -0.5, -2.3 
25.0, 31.8, -3.7, -29.8, -1.3, -5.7 
30.0, 30.2, -5.3, -35.3, -1.6, -5.5 
35.0, 28.4, -7.1, -40.7, -1.8, -5.4 
40.0, 26.4, -9.1, -45.9, -2.0, -5.2 
45.0, 24.2, -11.3, -50.9, -2.2, -5.0 
50.0, 21.9, -13.6, -55.7, -2.3, -4.8 
60.0, 16.9, -18.6, -64.8, -5.0, -9.2 
70.0, 11.5, -24.0, -73.5, -5.4, -8.7 
79.9, 11.5, -24.0, -85.7, 0.0, -12.3 
89.9, 11.5, -24.0, -98.2, 0.0, -12.5 
100.0, 11.5, -24.0, -111.2, 0.0, -13.0 
120.0, 11.5, -24.0, -140.5, 0.0, -29.3 
133.0, 11.5, -24.0, -180.0, 0.0, -39.5 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
