% hyscan_SZA_27p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 60.9, -1.6, 20.9, -1.6, 20.9 
7.0, 61.7, -0.8, 14.9, 0.8, -6.0 
5.0, 62.1, -0.4, 10.7, 0.4, -4.2 
3.5, 62.3, -0.2, 7.5, 0.2, -3.2 
3.0, 62.3, -0.2, -6.5, 0.1, -14.0 
3.5, 62.3, -0.2, -7.5, -0.1, -1.1 
4.0, 62.2, -0.3, -8.6, -0.1, -1.1 
5.0, 62.1, -0.4, -10.7, -0.1, -2.1 
6.0, 61.9, -0.6, -12.8, -0.2, -2.1 
7.0, 61.7, -0.8, -14.9, -0.2, -2.1 
8.0, 61.4, -1.1, -16.9, -0.2, -2.0 
10.0, 60.9, -1.6, -20.9, -0.6, -4.0 
12.0, 60.2, -2.3, -24.7, -0.7, -3.8 
14.0, 59.4, -3.1, -28.4, -0.8, -3.6 
16.0, 58.5, -4.0, -31.8, -0.9, -3.5 
18.0, 57.5, -5.0, -35.1, -1.0, -3.3 
20.0, 56.5, -6.0, -38.2, -1.1, -3.1 
25.0, 53.5, -9.0, -45.3, -3.0, -7.0 
30.0, 50.2, -12.3, -51.3, -3.3, -6.1 
35.0, 46.6, -15.9, -56.6, -3.6, -5.2 
40.0, 42.8, -19.7, -61.2, -3.8, -4.6 
45.0, 38.8, -23.7, -65.2, -4.0, -4.0 
50.0, 34.8, -27.7, -68.8, -4.1, -3.6 
60.0, 26.3, -36.2, -75.1, -8.4, -6.3 
70.0, 17.7, -44.8, -80.5, -8.7, -5.4 
80.0, 8.9, -53.6, -85.3, -8.8, -4.9 
90.0, 8.9, -53.6, -107.3, 0.0, -22.0 
100.0, 8.9, -53.6, -132.8, 0.0, -25.5 
108.6, 8.9, -53.6, -180.0, 0.0, -47.2 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
