% hyscan_SZA_72_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 17.7, -0.3, 10.5, -0.3, 10.5 
7.0, 17.9, -0.1, 7.4, 0.1, -3.1 
5.0, 17.9, -0.1, 5.3, 0.1, -2.1 
3.5, 18.0, -0.0, 3.7, 0.0, -1.6 
3.0, 18.0, -0.0, -3.2, 0.0, -6.8 
3.5, 18.0, -0.0, -3.7, -0.0, -0.5 
4.0, 18.0, -0.0, -4.2, -0.0, -0.5 
5.0, 17.9, -0.1, -5.3, -0.0, -1.1 
6.0, 17.9, -0.1, -6.3, -0.0, -1.1 
7.0, 17.9, -0.1, -7.4, -0.0, -1.1 
8.0, 17.8, -0.2, -8.4, -0.0, -1.0 
10.0, 17.7, -0.3, -10.5, -0.1, -2.1 
12.0, 17.6, -0.4, -12.6, -0.1, -2.1 
14.0, 17.4, -0.6, -14.7, -0.1, -2.1 
16.0, 17.3, -0.7, -16.8, -0.2, -2.1 
18.0, 17.1, -0.9, -18.9, -0.2, -2.1 
20.0, 16.9, -1.1, -20.9, -0.2, -2.1 
25.0, 16.3, -1.7, -26.1, -0.6, -5.2 
30.0, 15.5, -2.5, -31.3, -0.7, -5.1 
35.0, 14.7, -3.3, -36.4, -0.9, -5.1 
40.0, 14.7, -3.3, -41.6, 0.0, -5.3 
45.0, 14.7, -3.3, -46.9, 0.0, -5.3 
50.0, 14.7, -3.3, -52.1, 0.0, -5.3 
59.9, 14.7, -3.3, -62.6, 0.0, -10.5 
70.0, 14.7, -3.3, -73.4, -0.0, -10.8 
80.1, 14.7, -3.3, -84.1, 0.0, -10.8 
90.0, 14.7, -3.3, -94.9, 0.0, -10.8 
100.0, 14.7, -3.3, -105.9, 0.0, -11.0 
119.9, 14.7, -3.3, -128.9, 0.0, -23.0 
140.0, 14.7, -3.3, -156.6, 0.0, -27.8 
147.3, 14.7, -3.3, -180.0, 0.0, -23.4 
NaN, NaN, NaN, NaN, NaN, NaN 
