% hyscan_SZA_69p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 20.2, -0.3, 10.7, -0.3, 10.7 
7.0, 20.3, -0.2, 7.5, 0.2, -3.2 
5.0, 20.4, -0.1, 5.3, 0.1, -2.1 
3.5, 20.5, -0.0, 3.7, 0.0, -1.6 
3.0, 20.5, -0.0, -3.2, 0.0, -6.9 
3.5, 20.5, -0.0, -3.7, -0.0, -0.5 
4.0, 20.4, -0.1, -4.3, -0.0, -0.5 
5.0, 20.4, -0.1, -5.3, -0.0, -1.1 
6.0, 20.4, -0.1, -6.4, -0.0, -1.1 
7.0, 20.3, -0.2, -7.5, -0.0, -1.1 
8.0, 20.3, -0.2, -8.5, -0.0, -1.1 
10.0, 20.2, -0.3, -10.7, -0.1, -2.1 
12.0, 20.0, -0.5, -12.8, -0.1, -2.1 
14.0, 19.9, -0.6, -14.9, -0.2, -2.1 
16.0, 19.7, -0.8, -17.0, -0.2, -2.1 
18.0, 19.5, -1.0, -19.1, -0.2, -2.1 
20.0, 19.2, -1.3, -21.2, -0.2, -2.1 
25.0, 18.5, -2.0, -26.5, -0.7, -5.2 
30.0, 17.7, -2.8, -31.6, -0.9, -5.2 
35.0, 16.7, -3.8, -36.8, -1.0, -5.1 
40.0, 15.6, -4.9, -41.9, -1.1, -5.1 
45.0, 14.3, -6.2, -46.9, -1.2, -5.0 
49.9, 14.3, -6.2, -52.1, 0.0, -5.3 
60.0, 14.3, -6.2, -62.9, 0.0, -10.8 
70.0, 14.3, -6.2, -73.6, 0.0, -10.8 
80.1, 14.3, -6.2, -84.6, 0.0, -11.0 
89.9, 14.3, -6.2, -95.4, 0.0, -10.8 
100.0, 14.3, -6.2, -106.6, 0.0, -11.3 
120.1, 14.3, -6.2, -130.4, 0.0, -23.8 
140.1, 14.3, -6.2, -160.1, 0.0, -29.8 
145.2, 14.3, -6.2, -180.0, 0.0, -19.9 
NaN, NaN, NaN, NaN, NaN, NaN 
