% hyscan_SZA_17_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 70.4, -2.6, 31.1, -2.6, 31.1 
7.0, 71.7, -1.3, 22.8, 1.3, -8.3 
5.0, 72.3, -0.7, 16.7, 0.6, -6.1 
3.5, 72.7, -0.3, 11.8, 0.4, -4.8 
3.0, 72.7, -0.3, -10.2, 0.1, -22.0 
3.5, 72.7, -0.3, -11.8, -0.1, -1.7 
4.0, 72.5, -0.5, -13.5, -0.1, -1.6 
5.0, 72.3, -0.7, -16.7, -0.2, -3.2 
6.0, 72.0, -1.0, -19.8, -0.3, -3.1 
7.0, 71.7, -1.3, -22.8, -0.3, -3.0 
8.0, 71.3, -1.7, -25.7, -0.4, -2.9 
10.0, 70.4, -2.6, -31.1, -0.9, -5.4 
12.0, 69.3, -3.7, -36.0, -1.1, -4.9 
14.0, 68.1, -4.9, -40.5, -1.2, -4.4 
16.0, 66.8, -6.2, -44.4, -1.3, -4.0 
18.0, 65.4, -7.6, -48.0, -1.4, -3.6 
20.0, 64.0, -9.0, -51.2, -1.5, -3.2 
25.0, 60.1, -12.9, -57.9, -3.9, -6.7 
30.0, 55.9, -17.1, -63.1, -4.2, -5.2 
35.0, 51.6, -21.4, -67.3, -4.3, -4.2 
40.0, 47.1, -25.9, -70.8, -4.5, -3.5 
45.0, 42.5, -30.5, -73.7, -4.6, -2.9 
50.0, 37.9, -35.1, -76.2, -4.6, -2.5 
60.0, 28.6, -44.4, -80.4, -9.4, -4.2 
70.0, 19.1, -53.9, -83.9, -9.5, -3.5 
80.0, 9.6, -63.4, -87.0, -9.5, -3.1 
90.0, 9.6, -63.4, -123.3, -0.0, -36.3 
97.4, 9.6, -63.4, -180.0, 0.0, -56.7 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
