% hyscan_SZA_67_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 22.6, -0.4, 10.8, -0.4, 10.8 
7.0, 22.8, -0.2, 7.6, 0.2, -3.2 
5.0, 22.9, -0.1, 5.4, 0.1, -2.2 
3.5, 23.0, -0.0, 3.8, 0.0, -1.6 
3.0, 23.0, -0.0, -3.3, 0.0, -7.1 
3.5, 23.0, -0.0, -3.8, -0.0, -0.5 
4.0, 22.9, -0.1, -4.3, -0.0, -0.5 
5.0, 22.9, -0.1, -5.4, -0.0, -1.1 
6.0, 22.9, -0.1, -6.5, -0.0, -1.1 
7.0, 22.8, -0.2, -7.6, -0.0, -1.1 
8.0, 22.8, -0.2, -8.7, -0.1, -1.1 
10.0, 22.6, -0.4, -10.8, -0.1, -2.2 
12.0, 22.5, -0.5, -13.0, -0.2, -2.2 
14.0, 22.3, -0.7, -15.2, -0.2, -2.2 
16.0, 22.1, -0.9, -17.3, -0.2, -2.1 
18.0, 21.8, -1.2, -19.4, -0.2, -2.1 
20.0, 21.5, -1.5, -21.6, -0.3, -2.1 
25.0, 20.7, -2.3, -26.9, -0.8, -5.3 
30.0, 19.8, -3.2, -32.1, -1.0, -5.2 
35.0, 18.7, -4.3, -37.3, -1.1, -5.2 
40.0, 17.4, -5.6, -42.4, -1.3, -5.1 
45.0, 16.0, -7.0, -47.4, -1.4, -5.0 
50.0, 14.5, -8.5, -52.3, -1.5, -4.9 
59.9, 14.5, -8.5, -63.1, 0.0, -10.8 
70.0, 14.5, -8.5, -74.1, 0.0, -11.0 
79.9, 14.5, -8.5, -85.1, 0.0, -11.0 
90.0, 14.5, -8.5, -96.3, 0.0, -11.3 
100.0, 14.5, -8.5, -107.8, 0.0, -11.5 
119.9, 14.5, -8.5, -132.1, 0.0, -24.3 
140.0, 14.5, -8.5, -165.8, 0.0, -33.8 
142.5, 14.5, -8.5, -180.0, 0.0, -14.2 
NaN, NaN, NaN, NaN, NaN, NaN 
