% hyscan_SZA_59p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 30.0, -0.5, 11.6, -0.5, 11.6 
7.0, 30.2, -0.3, 8.1, 0.3, -3.5 
5.0, 30.4, -0.1, 5.8, 0.1, -2.3 
3.5, 30.4, -0.1, 4.1, 0.1, -1.7 
3.0, 30.5, -0.0, -3.5, 0.0, -7.5 
3.5, 30.4, -0.1, -4.1, -0.0, -0.6 
4.0, 30.4, -0.1, -4.6, -0.0, -0.6 
5.0, 30.4, -0.1, -5.8, -0.0, -1.2 
6.0, 30.3, -0.2, -7.0, -0.1, -1.2 
7.0, 30.2, -0.3, -8.1, -0.1, -1.2 
8.0, 30.2, -0.3, -9.3, -0.1, -1.2 
10.0, 30.0, -0.5, -11.6, -0.2, -2.3 
12.0, 29.8, -0.7, -13.9, -0.2, -2.3 
14.0, 29.5, -1.0, -16.1, -0.3, -2.3 
16.0, 29.2, -1.3, -18.4, -0.3, -2.3 
18.0, 28.9, -1.6, -20.7, -0.3, -2.3 
20.0, 28.5, -2.0, -22.9, -0.4, -2.2 
25.0, 27.4, -3.1, -28.4, -1.1, -5.5 
30.0, 26.1, -4.4, -33.8, -1.3, -5.4 
35.0, 24.6, -5.9, -39.1, -1.5, -5.3 
40.0, 22.9, -7.6, -44.2, -1.7, -5.1 
45.0, 21.0, -9.5, -49.3, -1.8, -5.0 
50.0, 19.0, -11.5, -54.1, -2.0, -4.9 
60.0, 14.7, -15.8, -63.6, -4.3, -9.4 
70.1, 14.7, -15.8, -75.3, 0.0, -11.8 
79.9, 14.7, -15.8, -86.8, 0.0, -11.5 
89.9, 14.7, -15.8, -98.8, 0.0, -12.0 
100.0, 14.7, -15.8, -111.3, 0.0, -12.5 
120.0, 14.7, -15.8, -139.1, 0.0, -27.8 
134.8, 14.7, -15.8, -180.0, 0.0, -40.9 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
