% hyscan_SZA_63_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 26.6, -0.4, 11.2, -0.4, 11.2 
7.0, 26.8, -0.2, 7.8, 0.2, -3.3 
5.0, 26.9, -0.1, 5.6, 0.1, -2.2 
3.5, 26.9, -0.1, 3.9, 0.1, -1.7 
3.0, 27.0, -0.0, -3.4, 0.0, -7.3 
3.5, 26.9, -0.1, -3.9, -0.0, -0.6 
4.0, 26.9, -0.1, -4.5, -0.0, -0.6 
5.0, 26.9, -0.1, -5.6, -0.0, -1.1 
6.0, 26.8, -0.2, -6.7, -0.0, -1.1 
7.0, 26.8, -0.2, -7.8, -0.1, -1.1 
8.0, 26.7, -0.3, -9.0, -0.1, -1.1 
10.0, 26.6, -0.4, -11.2, -0.2, -2.2 
12.0, 26.4, -0.6, -13.4, -0.2, -2.2 
14.0, 26.1, -0.9, -15.6, -0.2, -2.2 
16.0, 25.9, -1.1, -17.8, -0.3, -2.2 
18.0, 25.6, -1.4, -20.0, -0.3, -2.2 
20.0, 25.3, -1.7, -22.2, -0.3, -2.2 
25.0, 24.3, -2.7, -27.6, -1.0, -5.4 
30.0, 23.2, -3.8, -32.9, -1.1, -5.3 
35.0, 21.8, -5.2, -38.2, -1.3, -5.2 
40.0, 20.4, -6.6, -43.3, -1.5, -5.1 
45.0, 18.7, -8.3, -48.3, -1.6, -5.0 
50.0, 17.0, -10.0, -53.2, -1.8, -4.9 
60.0, 13.1, -13.9, -62.8, -3.8, -9.6 
70.0, 13.1, -13.9, -74.0, 0.0, -11.2 
80.0, 13.1, -13.9, -85.3, 0.0, -11.3 
90.0, 13.1, -13.9, -96.8, 0.0, -11.5 
99.9, 13.1, -13.9, -108.5, 0.0, -11.8 
120.0, 13.1, -13.9, -134.0, 0.0, -25.5 
139.9, 13.1, -13.9, -180.0, 0.0, -46.0 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
