% hyscan_SZA_65p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 24.1, -0.4, 11.0, -0.4, 11.0 
7.0, 24.3, -0.2, 7.7, 0.2, -3.3 
5.0, 24.4, -0.1, 5.5, 0.1, -2.2 
3.5, 24.5, -0.0, 3.8, 0.1, -1.6 
3.0, 24.5, -0.0, -3.3, 0.0, -7.1 
3.5, 24.5, -0.0, -3.8, -0.0, -0.5 
4.0, 24.4, -0.1, -4.4, -0.0, -0.5 
5.0, 24.4, -0.1, -5.5, -0.0, -1.1 
6.0, 24.4, -0.1, -6.6, -0.0, -1.1 
7.0, 24.3, -0.2, -7.7, -0.1, -1.1 
8.0, 24.2, -0.3, -8.8, -0.1, -1.1 
10.0, 24.1, -0.4, -11.0, -0.1, -2.2 
12.0, 23.9, -0.6, -13.1, -0.2, -2.2 
14.0, 23.7, -0.8, -15.3, -0.2, -2.2 
16.0, 23.5, -1.0, -17.5, -0.2, -2.2 
18.0, 23.2, -1.3, -19.7, -0.3, -2.2 
20.0, 22.9, -1.6, -21.8, -0.3, -2.2 
25.0, 22.1, -2.4, -27.1, -0.9, -5.3 
30.0, 21.0, -3.5, -32.4, -1.0, -5.3 
35.0, 19.9, -4.6, -37.6, -1.2, -5.2 
40.0, 18.5, -6.0, -42.7, -1.3, -5.1 
45.0, 17.1, -7.4, -47.7, -1.5, -5.0 
50.0, 15.5, -9.0, -52.6, -1.6, -4.9 
60.0, 12.0, -12.5, -62.3, -3.5, -9.6 
70.0, 12.0, -12.5, -73.3, 0.0, -11.0 
79.9, 12.0, -12.5, -84.3, 0.0, -11.0 
90.0, 12.0, -12.5, -95.5, 0.0, -11.3 
100.1, 12.0, -12.5, -107.0, 0.0, -11.5 
120.1, 12.0, -12.5, -131.3, 0.0, -24.3 
140.0, 12.0, -12.5, -163.3, 0.0, -32.0 
143.5, 12.0, -12.5, -180.0, 0.0, -16.7 
NaN, NaN, NaN, NaN, NaN, NaN 
