% hyscan_SZA_42_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 47.0, -1.0, 14.8, -1.0, 14.8 
7.0, 47.5, -0.5, 10.4, 0.5, -4.4 
5.0, 47.8, -0.2, 7.4, 0.2, -2.9 
3.5, 47.9, -0.1, 5.2, 0.1, -2.2 
3.0, 47.9, -0.1, -4.5, 0.0, -9.7 
3.5, 47.9, -0.1, -5.2, -0.0, -0.7 
4.0, 47.8, -0.2, -6.0, -0.0, -0.7 
5.0, 47.8, -0.2, -7.4, -0.1, -1.5 
6.0, 47.7, -0.3, -8.9, -0.1, -1.5 
7.0, 47.5, -0.5, -10.4, -0.1, -1.5 
8.0, 47.4, -0.6, -11.9, -0.1, -1.5 
10.0, 47.0, -1.0, -14.8, -0.3, -2.9 
12.0, 46.6, -1.4, -17.6, -0.4, -2.9 
14.0, 46.1, -1.9, -20.4, -0.5, -2.8 
16.0, 45.6, -2.4, -23.2, -0.6, -2.8 
18.0, 45.0, -3.0, -25.9, -0.6, -2.7 
20.0, 44.3, -3.7, -28.5, -0.7, -2.6 
25.0, 42.3, -5.7, -34.9, -2.0, -6.3 
30.0, 40.1, -7.9, -40.8, -2.3, -5.9 
35.0, 37.5, -10.5, -46.3, -2.6, -5.5 
40.0, 34.7, -13.3, -51.4, -2.8, -5.1 
45.0, 31.7, -16.3, -56.2, -3.0, -4.8 
50.0, 28.5, -19.5, -60.7, -3.2, -4.5 
60.0, 21.8, -26.2, -68.9, -6.7, -8.2 
70.0, 14.7, -33.3, -76.3, -7.1, -7.4 
80.0, 14.7, -33.3, -91.3, 0.0, -15.0 
90.1, 14.7, -33.3, -107.1, 0.0, -15.8 
100.0, 14.7, -33.3, -124.1, 0.0, -17.0 
117.3, 14.7, -33.3, -180.0, 0.0, -55.9 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
