% hyscan_SZA_39_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 49.9, -1.1, 15.7, -1.1, 15.7 
7.0, 50.5, -0.5, 11.0, 0.5, -4.6 
5.0, 50.7, -0.3, 7.9, 0.3, -3.1 
3.5, 50.9, -0.1, 5.6, 0.1, -2.4 
3.0, 50.9, -0.1, -4.8, 0.0, -10.3 
3.5, 50.9, -0.1, -5.6, -0.0, -0.8 
4.0, 50.8, -0.2, -6.3, -0.0, -0.8 
5.0, 50.7, -0.3, -7.9, -0.1, -1.6 
6.0, 50.6, -0.4, -9.5, -0.1, -1.6 
7.0, 50.5, -0.5, -11.0, -0.1, -1.6 
8.0, 50.3, -0.7, -12.6, -0.2, -1.5 
10.0, 49.9, -1.1, -15.7, -0.4, -3.1 
12.0, 49.5, -1.5, -18.7, -0.5, -3.0 
14.0, 48.9, -2.1, -21.6, -0.5, -3.0 
16.0, 48.3, -2.7, -24.5, -0.6, -2.9 
18.0, 47.7, -3.3, -27.3, -0.7, -2.8 
20.0, 46.9, -4.1, -30.0, -0.7, -2.7 
25.0, 44.8, -6.2, -36.5, -2.1, -6.5 
30.0, 42.3, -8.7, -42.5, -2.5, -6.0 
35.0, 39.5, -11.5, -48.1, -2.8, -5.5 
40.0, 36.5, -14.5, -53.1, -3.0, -5.1 
45.0, 33.3, -17.7, -57.8, -3.2, -4.7 
50.0, 30.0, -21.0, -62.2, -3.4, -4.3 
60.0, 22.9, -28.1, -70.0, -7.1, -7.9 
70.0, 15.4, -35.6, -77.1, -7.5, -7.1 
80.0, 7.8, -43.2, -83.7, -7.7, -6.6 
90.0, 7.8, -43.2, -99.7, 0.0, -16.0 
99.9, 7.8, -43.2, -116.4, 0.0, -16.8 
120.0, 7.8, -43.2, -165.9, 0.0, -49.5 
121.2, 7.8, -43.2, -180.0, 0.0, -14.1 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
