% hyscan_SZA_55p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 33.9, -0.6, 12.1, -0.6, 12.1 
7.0, 34.2, -0.3, 8.5, 0.3, -3.6 
5.0, 34.4, -0.1, 6.1, 0.1, -2.4 
3.5, 34.4, -0.1, 4.2, 0.1, -1.8 
3.0, 34.4, -0.1, -3.6, 0.0, -7.9 
3.5, 34.4, -0.1, -4.2, -0.0, -0.6 
4.0, 34.4, -0.1, -4.8, -0.0, -0.6 
5.0, 34.4, -0.1, -6.1, -0.1, -1.2 
6.0, 34.3, -0.2, -7.3, -0.1, -1.2 
7.0, 34.2, -0.3, -8.5, -0.1, -1.2 
8.0, 34.1, -0.4, -9.7, -0.1, -1.2 
10.0, 33.9, -0.6, -12.1, -0.2, -2.4 
12.0, 33.6, -0.9, -14.5, -0.3, -2.4 
14.0, 33.3, -1.2, -16.8, -0.3, -2.4 
16.0, 33.0, -1.5, -19.2, -0.4, -2.4 
18.0, 32.6, -1.9, -21.5, -0.4, -2.3 
20.0, 32.2, -2.3, -23.8, -0.4, -2.3 
25.0, 30.9, -3.6, -29.5, -1.3, -5.7 
30.0, 29.4, -5.1, -35.0, -1.5, -5.5 
35.0, 27.6, -6.9, -40.4, -1.7, -5.3 
40.0, 25.7, -8.8, -45.5, -1.9, -5.2 
45.0, 23.6, -10.9, -50.5, -2.1, -5.0 
50.0, 21.4, -13.1, -55.3, -2.3, -4.8 
60.0, 16.5, -18.0, -64.6, -4.9, -9.2 
70.0, 11.2, -23.3, -73.3, -5.3, -8.7 
80.1, 11.2, -23.3, -85.6, 0.0, -12.3 
90.0, 11.2, -23.3, -97.8, 0.0, -12.3 
100.0, 11.2, -23.3, -110.6, 0.0, -12.8 
120.1, 11.2, -23.3, -139.1, 0.0, -28.5 
134.3, 11.2, -23.3, -180.0, 0.0, -40.9 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
