% hyscan_SZA_6_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 78.4, -5.6, 59.3, -5.6, 59.3 
7.0, 80.8, -3.2, 49.6, 2.4, -9.7 
5.0, 82.2, -1.8, 39.9, 1.4, -9.7 
3.5, 83.1, -0.9, 30.3, 0.9, -9.6 
3.0, 83.3, -0.7, -26.6, 0.2, -57.0 
3.5, 83.1, -0.9, -30.3, -0.2, -3.7 
4.0, 82.8, -1.2, -33.8, -0.3, -3.4 
5.0, 82.2, -1.8, -39.9, -0.6, -6.1 
6.0, 81.5, -2.5, -45.2, -0.7, -5.2 
7.0, 80.8, -3.2, -49.6, -0.7, -4.4 
8.0, 80.0, -4.0, -53.4, -0.8, -3.8 
10.0, 78.4, -5.6, -59.3, -1.7, -6.0 
12.0, 76.6, -7.4, -63.8, -1.8, -4.5 
14.0, 74.8, -9.2, -67.3, -1.8, -3.4 
16.0, 72.9, -11.1, -70.0, -1.9, -2.7 
18.0, 71.1, -12.9, -72.2, -1.9, -2.2 
20.0, 69.2, -14.8, -74.0, -1.9, -1.8 
25.0, 64.3, -19.7, -77.4, -4.8, -3.4 
30.0, 59.5, -24.5, -79.7, -4.9, -2.4 
35.0, 54.6, -29.4, -81.5, -4.9, -1.8 
40.0, 49.6, -34.4, -82.9, -4.9, -1.4 
45.0, 44.7, -39.3, -84.0, -4.9, -1.1 
50.0, 39.7, -44.3, -85.0, -4.9, -1.0 
60.0, 29.8, -54.2, -86.5, -9.9, -1.6 
70.0, 19.9, -64.1, -87.8, -9.9, -1.3 
80.0, 9.9, -74.1, -88.9, -9.9, -1.1 
86.1, 9.9, -74.1, -180.0, 0.0, -91.1 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
