% hyscan_SZA_9p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 76.2, -4.3, 46.9, -4.3, 46.9 
7.0, 78.2, -2.3, 36.6, 2.0, -10.2 
5.0, 79.3, -1.2, 27.9, 1.1, -8.7 
3.5, 79.9, -0.6, 20.3, 0.6, -7.6 
3.0, 80.0, -0.5, -17.6, 0.2, -37.9 
3.5, 79.9, -0.6, -20.3, -0.2, -2.7 
4.0, 79.7, -0.8, -23.0, -0.2, -2.6 
5.0, 79.3, -1.2, -27.9, -0.4, -5.0 
6.0, 78.8, -1.7, -32.5, -0.5, -4.6 
7.0, 78.2, -2.3, -36.6, -0.6, -4.2 
8.0, 77.6, -2.9, -40.4, -0.6, -3.8 
10.0, 76.2, -4.3, -46.9, -1.4, -6.5 
12.0, 74.7, -5.8, -52.2, -1.5, -5.3 
14.0, 73.1, -7.4, -56.5, -1.6, -4.3 
16.0, 71.5, -9.0, -60.1, -1.7, -3.6 
18.0, 69.7, -10.8, -63.1, -1.7, -3.0 
20.0, 67.9, -12.6, -65.6, -1.8, -2.5 
25.0, 63.4, -17.1, -70.5, -4.6, -4.9 
30.0, 58.7, -21.8, -74.0, -4.7, -3.5 
35.0, 53.9, -26.6, -76.7, -4.8, -2.7 
40.0, 49.1, -31.4, -78.9, -4.8, -2.1 
45.0, 44.2, -36.3, -80.6, -4.9, -1.8 
50.0, 39.3, -41.2, -82.1, -4.9, -1.5 
60.0, 29.5, -51.0, -84.6, -9.8, -2.4 
70.0, 19.7, -60.8, -86.6, -9.8, -2.0 
80.0, 9.9, -70.6, -88.3, -9.9, -1.8 
89.6, 9.9, -70.6, -180.0, 0.0, -91.7 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
