% hyscan_SZA_35_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 53.8, -1.2, 17.1, -1.2, 17.1 
7.0, 54.4, -0.6, 12.1, 0.6, -5.0 
5.0, 54.7, -0.3, 8.7, 0.3, -3.4 
3.5, 54.8, -0.2, 6.1, 0.2, -2.6 
3.0, 54.9, -0.1, -5.2, 0.0, -11.3 
3.5, 54.8, -0.2, -6.1, -0.0, -0.9 
4.0, 54.8, -0.2, -7.0, -0.0, -0.9 
5.0, 54.7, -0.3, -8.7, -0.1, -1.7 
6.0, 54.6, -0.4, -10.4, -0.1, -1.7 
7.0, 54.4, -0.6, -12.1, -0.2, -1.7 
8.0, 54.2, -0.8, -13.8, -0.2, -1.7 
10.0, 53.8, -1.2, -17.1, -0.4, -3.3 
12.0, 53.2, -1.8, -20.3, -0.5, -3.2 
14.0, 52.6, -2.4, -23.5, -0.6, -3.2 
16.0, 51.9, -3.1, -26.6, -0.7, -3.1 
18.0, 51.2, -3.8, -29.5, -0.8, -3.0 
20.0, 50.3, -4.7, -32.4, -0.8, -2.9 
25.0, 47.9, -7.1, -39.1, -2.4, -6.7 
30.0, 45.2, -9.8, -45.2, -2.7, -6.1 
35.0, 42.1, -12.9, -50.7, -3.0, -5.5 
40.0, 38.9, -16.1, -55.6, -3.3, -5.0 
45.0, 35.4, -19.6, -60.2, -3.5, -4.5 
50.0, 31.8, -23.2, -64.3, -3.6, -4.1 
60.0, 24.2, -30.8, -71.7, -7.6, -7.4 
70.0, 16.3, -38.7, -78.2, -7.9, -6.5 
80.0, 8.2, -46.8, -84.2, -8.1, -6.0 
89.9, 8.2, -46.8, -101.7, 0.0, -17.5 
100.0, 8.2, -46.8, -120.7, 0.0, -19.0 
116.8, 8.2, -46.8, -180.0, 0.0, -59.3 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
