% hyscan_SZA_38p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 50.4, -1.1, 15.8, -1.1, 15.8 
7.0, 51.0, -0.5, 11.2, 0.5, -4.7 
5.0, 51.2, -0.3, 8.0, 0.3, -3.2 
3.5, 51.4, -0.1, 5.6, 0.1, -2.4 
3.0, 51.4, -0.1, -4.8, 0.0, -10.4 
3.5, 51.4, -0.1, -5.6, -0.0, -0.8 
4.0, 51.3, -0.2, -6.4, -0.0, -0.8 
5.0, 51.2, -0.3, -8.0, -0.1, -1.6 
6.0, 51.1, -0.4, -9.6, -0.1, -1.6 
7.0, 51.0, -0.5, -11.2, -0.1, -1.6 
8.0, 50.8, -0.7, -12.7, -0.2, -1.6 
10.0, 50.4, -1.1, -15.8, -0.4, -3.1 
12.0, 50.0, -1.5, -18.9, -0.5, -3.0 
14.0, 49.4, -2.1, -21.8, -0.5, -3.0 
16.0, 48.8, -2.7, -24.7, -0.6, -2.9 
18.0, 48.1, -3.4, -27.6, -0.7, -2.8 
20.0, 47.3, -4.2, -30.3, -0.8, -2.8 
25.0, 45.2, -6.3, -36.8, -2.2, -6.5 
30.0, 42.7, -8.8, -42.8, -2.5, -6.0 
35.0, 39.9, -11.6, -48.4, -2.8, -5.5 
40.0, 36.8, -14.7, -53.4, -3.0, -5.1 
45.0, 33.6, -17.9, -58.1, -3.2, -4.7 
50.0, 30.2, -21.3, -62.4, -3.4, -4.3 
60.0, 23.0, -28.5, -70.2, -7.2, -7.8 
70.0, 15.5, -36.0, -77.2, -7.5, -7.0 
80.0, 7.8, -43.7, -83.7, -7.7, -6.5 
90.0, 7.8, -43.7, -100.0, 0.0, -16.3 
100.0, 7.8, -43.7, -117.0, 0.0, -17.0 
120.0, 7.8, -43.7, -169.5, 0.0, -52.5 
120.7, 7.8, -43.7, -180.0, 0.0, -10.5 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
