% hyscan_SZA_72p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 17.2, -0.3, 10.5, -0.3, 10.5 
7.0, 17.4, -0.1, 7.3, 0.1, -3.1 
5.0, 17.4, -0.1, 5.2, 0.1, -2.1 
3.5, 17.5, -0.0, 3.7, 0.0, -1.6 
3.0, 17.5, -0.0, -3.1, 0.0, -6.8 
3.5, 17.5, -0.0, -3.7, -0.0, -0.5 
4.0, 17.5, -0.0, -4.2, -0.0, -0.5 
5.0, 17.4, -0.1, -5.2, -0.0, -1.0 
6.0, 17.4, -0.1, -6.3, -0.0, -1.0 
7.0, 17.4, -0.1, -7.3, -0.0, -1.0 
8.0, 17.3, -0.2, -8.4, -0.0, -1.0 
10.0, 17.2, -0.3, -10.5, -0.1, -2.1 
12.0, 17.1, -0.4, -12.6, -0.1, -2.1 
14.0, 17.0, -0.5, -14.7, -0.1, -2.1 
16.0, 16.8, -0.7, -16.7, -0.2, -2.1 
18.0, 16.6, -0.9, -18.8, -0.2, -2.1 
20.0, 16.4, -1.1, -20.9, -0.2, -2.1 
25.0, 15.8, -1.7, -26.1, -0.6, -5.2 
30.0, 15.1, -2.4, -31.2, -0.7, -5.1 
35.0, 14.3, -3.2, -36.3, -0.8, -5.1 
40.0, 14.3, -3.2, -41.5, -0.0, -5.3 
45.0, 14.3, -3.2, -46.8, 0.0, -5.3 
50.0, 14.3, -3.2, -52.0, -0.0, -5.3 
60.0, 14.3, -3.2, -62.5, 0.0, -10.5 
69.9, 14.3, -3.2, -73.0, 0.0, -10.5 
80.0, 14.3, -3.2, -83.8, 0.0, -10.8 
89.9, 14.3, -3.2, -94.5, 0.0, -10.8 
100.0, 14.3, -3.2, -105.5, 0.0, -11.0 
119.9, 14.3, -3.2, -128.3, 0.0, -22.7 
140.0, 14.3, -3.2, -155.3, 0.0, -27.0 
148.2, 14.3, -3.2, -180.0, 0.0, -24.7 
NaN, NaN, NaN, NaN, NaN, NaN 
