% hyscan_SZA_36p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 52.3, -1.2, 16.5, -1.2, 16.5 
7.0, 52.9, -0.6, 11.7, 0.6, -4.8 
5.0, 53.2, -0.3, 8.4, 0.3, -3.3 
3.5, 53.4, -0.1, 5.9, 0.1, -2.5 
3.0, 53.4, -0.1, -5.0, 0.0, -10.9 
3.5, 53.4, -0.1, -5.9, -0.0, -0.8 
4.0, 53.3, -0.2, -6.7, -0.0, -0.8 
5.0, 53.2, -0.3, -8.4, -0.1, -1.7 
6.0, 53.1, -0.4, -10.0, -0.1, -1.7 
7.0, 52.9, -0.6, -11.7, -0.2, -1.6 
8.0, 52.8, -0.7, -13.3, -0.2, -1.6 
10.0, 52.3, -1.2, -16.5, -0.4, -3.2 
12.0, 51.8, -1.7, -19.7, -0.5, -3.2 
14.0, 51.3, -2.2, -22.7, -0.6, -3.1 
16.0, 50.6, -2.9, -25.7, -0.7, -3.0 
18.0, 49.9, -3.6, -28.6, -0.7, -2.9 
20.0, 49.1, -4.4, -31.5, -0.8, -2.8 
25.0, 46.8, -6.7, -38.1, -2.3, -6.6 
30.0, 44.1, -9.4, -44.1, -2.6, -6.1 
35.0, 41.2, -12.3, -49.7, -2.9, -5.5 
40.0, 38.0, -15.5, -54.7, -3.2, -5.0 
45.0, 34.6, -18.9, -59.3, -3.4, -4.6 
50.0, 31.1, -22.4, -63.5, -3.5, -4.2 
60.0, 23.7, -29.8, -71.0, -7.4, -7.6 
70.0, 16.0, -37.5, -77.8, -7.7, -6.7 
80.0, 8.0, -45.5, -84.0, -7.9, -6.2 
90.0, 8.0, -45.5, -101.0, 0.0, -17.0 
100.0, 8.0, -45.5, -119.0, 0.0, -18.0 
118.5, 8.0, -45.5, -180.0, 0.0, -61.0 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
