% hyscan_SZA_31p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 57.1, -1.4, 18.6, -1.4, 18.6 
7.0, 57.8, -0.7, 13.2, 0.7, -5.4 
5.0, 58.1, -0.4, 9.5, 0.3, -3.7 
3.5, 58.3, -0.2, 6.7, 0.2, -2.8 
3.0, 58.4, -0.1, -5.7, 0.0, -12.4 
3.5, 58.3, -0.2, -6.7, -0.0, -0.9 
4.0, 58.3, -0.2, -7.6, -0.1, -0.9 
5.0, 58.1, -0.4, -9.5, -0.1, -1.9 
6.0, 58.0, -0.5, -11.4, -0.2, -1.9 
7.0, 57.8, -0.7, -13.2, -0.2, -1.9 
8.0, 57.6, -0.9, -15.1, -0.2, -1.8 
10.0, 57.1, -1.4, -18.6, -0.5, -3.6 
12.0, 56.5, -2.0, -22.1, -0.6, -3.5 
14.0, 55.8, -2.7, -25.5, -0.7, -3.4 
16.0, 55.0, -3.5, -28.8, -0.8, -3.2 
18.0, 54.2, -4.3, -31.9, -0.9, -3.1 
20.0, 53.2, -5.3, -34.9, -0.9, -3.0 
25.0, 50.6, -7.9, -41.7, -2.6, -6.9 
30.0, 47.6, -10.9, -47.9, -3.0, -6.1 
35.0, 44.3, -14.2, -53.3, -3.3, -5.4 
40.0, 40.8, -17.7, -58.1, -3.5, -4.8 
45.0, 37.1, -21.4, -62.4, -3.7, -4.3 
50.0, 33.2, -25.3, -66.3, -3.8, -3.9 
60.0, 25.2, -33.3, -73.2, -8.0, -6.9 
70.0, 17.0, -41.5, -79.2, -8.3, -6.0 
80.0, 8.5, -50.0, -84.7, -8.4, -5.5 
90.0, 8.5, -50.0, -104.2, 0.0, -19.5 
100.0, 8.5, -50.0, -125.5, 0.0, -21.3 
113.0, 8.5, -50.0, -180.0, 0.0, -54.5 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
