% hyscan_SZA_29_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 59.5, -1.5, 20.0, -1.5, 20.0 
7.0, 60.2, -0.8, 14.2, 0.8, -5.8 
5.0, 60.6, -0.4, 10.2, 0.4, -4.0 
3.5, 60.8, -0.2, 7.2, 0.2, -3.0 
3.0, 60.9, -0.1, -6.2, 0.1, -13.4 
3.5, 60.8, -0.2, -7.2, -0.1, -1.0 
4.0, 60.7, -0.3, -8.2, -0.1, -1.0 
5.0, 60.6, -0.4, -10.2, -0.1, -2.0 
6.0, 60.4, -0.6, -12.2, -0.2, -2.0 
7.0, 60.2, -0.8, -14.2, -0.2, -2.0 
8.0, 60.0, -1.0, -16.2, -0.2, -2.0 
10.0, 59.5, -1.5, -20.0, -0.5, -3.8 
12.0, 58.8, -2.2, -23.7, -0.7, -3.7 
14.0, 58.1, -2.9, -27.2, -0.8, -3.5 
16.0, 57.2, -3.8, -30.6, -0.8, -3.4 
18.0, 56.3, -4.7, -33.8, -0.9, -3.2 
20.0, 55.3, -5.7, -36.9, -1.0, -3.1 
25.0, 52.4, -8.6, -43.9, -2.8, -7.0 
30.0, 49.2, -11.8, -50.0, -3.2, -6.1 
35.0, 45.8, -15.2, -55.3, -3.5, -5.3 
40.0, 42.1, -18.9, -60.0, -3.7, -4.7 
45.0, 38.2, -22.8, -64.1, -3.9, -4.2 
50.0, 34.2, -26.8, -67.9, -4.0, -3.7 
60.0, 25.9, -35.1, -74.4, -8.3, -6.5 
70.0, 17.4, -43.6, -80.0, -8.5, -5.6 
80.0, 8.7, -52.3, -85.1, -8.7, -5.1 
90.0, 8.7, -52.3, -106.1, 0.0, -21.0 
100.0, 8.7, -52.3, -129.9, 0.0, -23.7 
110.3, 8.7, -52.3, -180.0, 0.0, -50.1 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
