% hyscan_SZA_20p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 67.3, -2.2, 26.7, -2.2, 26.7 
7.0, 68.4, -1.1, 19.3, 1.1, -7.4 
5.0, 68.9, -0.6, 14.0, 0.5, -5.3 
3.5, 69.2, -0.3, 9.9, 0.3, -4.1 
3.0, 69.3, -0.2, -8.5, 0.1, -18.4 
3.5, 69.2, -0.3, -9.9, -0.1, -1.4 
4.0, 69.1, -0.4, -11.3, -0.1, -1.4 
5.0, 68.9, -0.6, -14.0, -0.2, -2.7 
6.0, 68.7, -0.8, -16.7, -0.2, -2.7 
7.0, 68.4, -1.1, -19.3, -0.3, -2.6 
8.0, 68.1, -1.4, -21.9, -0.3, -2.5 
10.0, 67.3, -2.2, -26.7, -0.8, -4.9 
12.0, 66.4, -3.1, -31.3, -0.9, -4.5 
14.0, 65.3, -4.2, -35.4, -1.0, -4.2 
16.0, 64.2, -5.3, -39.3, -1.1, -3.9 
18.0, 63.0, -6.5, -42.9, -1.2, -3.5 
20.0, 61.7, -7.8, -46.1, -1.3, -3.2 
25.0, 58.1, -11.4, -53.1, -3.6, -7.0 
30.0, 54.2, -15.3, -58.8, -3.9, -5.7 
35.0, 50.1, -19.4, -63.4, -4.1, -4.7 
40.0, 45.9, -23.6, -67.3, -4.3, -3.9 
45.0, 41.5, -28.0, -70.7, -4.4, -3.4 
50.0, 37.0, -32.5, -73.6, -4.5, -2.9 
60.0, 27.9, -41.6, -78.6, -9.1, -4.9 
70.0, 18.7, -50.8, -82.7, -9.2, -4.2 
80.0, 9.4, -60.1, -86.5, -9.3, -3.7 
90.0, 9.4, -60.1, -116.2, 0.0, -29.8 
100.0, 9.4, -60.1, -160.7, -0.0, -44.5 
101.1, 9.4, -60.1, -180.0, 0.0, -19.3 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
