% hyscan_SZA_59_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 30.5, -0.5, 11.6, -0.5, 11.6 
7.0, 30.7, -0.3, 8.2, 0.3, -3.5 
5.0, 30.9, -0.1, 5.8, 0.1, -2.3 
3.5, 30.9, -0.1, 4.1, 0.1, -1.7 
3.0, 31.0, -0.0, -3.5, 0.0, -7.6 
3.5, 30.9, -0.1, -4.1, -0.0, -0.6 
4.0, 30.9, -0.1, -4.7, -0.0, -0.6 
5.0, 30.9, -0.1, -5.8, -0.0, -1.2 
6.0, 30.8, -0.2, -7.0, -0.1, -1.2 
7.0, 30.7, -0.3, -8.2, -0.1, -1.2 
8.0, 30.7, -0.3, -9.3, -0.1, -1.2 
10.0, 30.5, -0.5, -11.6, -0.2, -2.3 
12.0, 30.3, -0.7, -13.9, -0.2, -2.3 
14.0, 30.0, -1.0, -16.2, -0.3, -2.3 
16.0, 29.7, -1.3, -18.5, -0.3, -2.3 
18.0, 29.3, -1.7, -20.8, -0.3, -2.3 
20.0, 28.9, -2.1, -23.0, -0.4, -2.2 
25.0, 27.8, -3.2, -28.5, -1.1, -5.5 
30.0, 26.5, -4.5, -34.0, -1.3, -5.4 
35.0, 25.0, -6.0, -39.2, -1.5, -5.3 
40.0, 23.2, -7.8, -44.4, -1.7, -5.1 
45.0, 21.4, -9.6, -49.4, -1.9, -5.0 
50.0, 19.3, -11.7, -54.3, -2.0, -4.9 
60.0, 14.9, -16.1, -63.7, -4.4, -9.4 
70.1, 14.9, -16.1, -75.4, -0.0, -11.8 
80.0, 14.9, -16.1, -87.2, 0.0, -11.8 
90.0, 14.9, -16.1, -99.2, 0.0, -12.0 
100.0, 14.9, -16.1, -111.7, 0.0, -12.5 
120.1, 14.9, -16.1, -139.9, 0.0, -28.3 
134.1, 14.9, -16.1, -180.0, 0.0, -40.1 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
