% hyscan_SZA_12p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 74.0, -3.5, 39.2, -3.5, 39.2 
7.0, 75.7, -1.8, 29.6, 1.7, -9.6 
5.0, 76.6, -0.9, 22.0, 0.9, -7.6 
3.5, 77.0, -0.5, 15.8, 0.5, -6.2 
3.0, 77.2, -0.3, -13.6, 0.1, -29.4 
3.5, 77.0, -0.5, -15.8, -0.1, -2.2 
4.0, 76.9, -0.6, -17.9, -0.1, -2.1 
5.0, 76.6, -0.9, -22.0, -0.3, -4.1 
6.0, 76.2, -1.3, -25.9, -0.4, -3.9 
7.0, 75.7, -1.8, -29.6, -0.5, -3.7 
8.0, 75.2, -2.3, -33.0, -0.5, -3.4 
10.0, 74.0, -3.5, -39.2, -1.2, -6.2 
12.0, 72.7, -4.8, -44.5, -1.3, -5.3 
14.0, 71.3, -6.2, -49.0, -1.4, -4.6 
16.0, 69.8, -7.7, -53.0, -1.5, -3.9 
18.0, 68.2, -9.3, -56.3, -1.6, -3.4 
20.0, 66.6, -10.9, -59.3, -1.7, -2.9 
25.0, 62.2, -15.3, -65.1, -4.3, -5.8 
30.0, 57.7, -19.8, -69.4, -4.5, -4.3 
35.0, 53.1, -24.4, -72.8, -4.6, -3.4 
40.0, 48.4, -29.1, -75.5, -4.7, -2.7 
45.0, 43.7, -33.8, -77.8, -4.8, -2.3 
50.0, 38.9, -38.6, -79.7, -4.8, -1.9 
60.0, 29.2, -48.3, -82.9, -9.7, -3.2 
70.0, 19.5, -58.0, -85.5, -9.7, -2.6 
80.0, 9.8, -67.7, -87.8, -9.7, -2.3 
90.0, 9.8, -67.7, -140.8, 0.0, -53.0 
92.7, 9.8, -67.7, -180.0, 0.0, -39.2 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
