% hyscan_SZA_64_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 25.6, -0.4, 11.1, -0.4, 11.1 
7.0, 25.8, -0.2, 7.8, 0.2, -3.3 
5.0, 25.9, -0.1, 5.6, 0.1, -2.2 
3.5, 25.9, -0.1, 3.9, 0.1, -1.7 
3.0, 26.0, -0.0, -3.3, 0.0, -7.2 
3.5, 25.9, -0.1, -3.9, -0.0, -0.6 
4.0, 25.9, -0.1, -4.4, -0.0, -0.6 
5.0, 25.9, -0.1, -5.6, -0.0, -1.1 
6.0, 25.8, -0.2, -6.7, -0.0, -1.1 
7.0, 25.8, -0.2, -7.8, -0.1, -1.1 
8.0, 25.7, -0.3, -8.9, -0.1, -1.1 
10.0, 25.6, -0.4, -11.1, -0.2, -2.2 
12.0, 25.4, -0.6, -13.3, -0.2, -2.2 
14.0, 25.2, -0.8, -15.5, -0.2, -2.2 
16.0, 24.9, -1.1, -17.7, -0.3, -2.2 
18.0, 24.6, -1.4, -19.9, -0.3, -2.2 
20.0, 24.3, -1.7, -22.0, -0.3, -2.2 
25.0, 23.4, -2.6, -27.4, -0.9, -5.4 
30.0, 22.3, -3.7, -32.7, -1.1, -5.3 
35.0, 21.0, -5.0, -37.9, -1.3, -5.2 
40.0, 19.6, -6.4, -43.0, -1.4, -5.1 
45.0, 18.1, -7.9, -48.1, -1.6, -5.0 
50.0, 16.4, -9.6, -53.0, -1.7, -4.9 
60.0, 12.7, -13.3, -62.6, -3.7, -9.6 
70.1, 12.7, -13.3, -73.8, 0.0, -11.2 
79.9, 12.7, -13.3, -84.8, 0.0, -11.0 
90.0, 12.7, -13.3, -96.3, 0.0, -11.5 
99.9, 12.7, -13.3, -107.8, 0.0, -11.5 
120.0, 12.7, -13.3, -132.8, 0.0, -25.0 
140.0, 12.7, -13.3, -169.6, 0.0, -36.8 
141.3, 12.7, -13.3, -180.0, -0.0, -10.4 
NaN, NaN, NaN, NaN, NaN, NaN 
