% hyscan_SZA_74_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 15.8, -0.2, 10.4, -0.2, 10.4 
7.0, 15.9, -0.1, 7.3, 0.1, -3.1 
5.0, 15.9, -0.1, 5.2, 0.1, -2.1 
3.5, 16.0, -0.0, 3.6, 0.0, -1.6 
3.0, 16.0, -0.0, -3.1, 0.0, -6.8 
3.5, 16.0, -0.0, -3.6, -0.0, -0.5 
4.0, 16.0, -0.0, -4.2, -0.0, -0.5 
5.0, 15.9, -0.1, -5.2, -0.0, -1.0 
6.0, 15.9, -0.1, -6.2, -0.0, -1.0 
7.0, 15.9, -0.1, -7.3, -0.0, -1.0 
8.0, 15.8, -0.2, -8.3, -0.0, -1.0 
10.0, 15.8, -0.2, -10.4, -0.1, -2.1 
12.0, 15.6, -0.4, -12.5, -0.1, -2.1 
14.0, 15.5, -0.5, -14.5, -0.1, -2.1 
16.0, 15.4, -0.6, -16.6, -0.1, -2.1 
18.0, 15.2, -0.8, -18.7, -0.2, -2.1 
20.0, 15.0, -1.0, -20.7, -0.2, -2.1 
25.0, 14.5, -1.5, -25.9, -0.5, -5.1 
30.0, 14.5, -1.5, -31.1, -0.0, -5.3 
35.1, 14.5, -1.5, -36.4, 0.0, -5.3 
39.9, 14.5, -1.5, -41.4, 0.0, -5.0 
44.9, 14.5, -1.5, -46.6, 0.0, -5.3 
49.9, 14.5, -1.5, -51.9, 0.0, -5.3 
60.0, 14.5, -1.5, -62.4, 0.0, -10.5 
69.9, 14.5, -1.5, -72.9, -0.0, -10.5 
80.1, 14.5, -1.5, -83.6, 0.0, -10.8 
89.9, 14.5, -1.5, -94.1, 0.0, -10.5 
100.0, 14.5, -1.5, -105.1, 0.0, -11.0 
120.0, 14.5, -1.5, -127.6, 0.0, -22.5 
140.1, 14.5, -1.5, -153.9, 0.0, -26.3 
149.5, 14.5, -1.5, -180.0, 0.0, -26.1 
NaN, NaN, NaN, NaN, NaN, NaN 
