% hyscan_SZA_56p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 32.9, -0.6, 11.9, -0.6, 11.9 
7.0, 33.2, -0.3, 8.4, 0.3, -3.6 
5.0, 33.4, -0.1, 6.0, 0.1, -2.4 
3.5, 33.4, -0.1, 4.2, 0.1, -1.8 
3.0, 33.4, -0.1, -3.6, 0.0, -7.8 
3.5, 33.4, -0.1, -4.2, -0.0, -0.6 
4.0, 33.4, -0.1, -4.8, -0.0, -0.6 
5.0, 33.4, -0.1, -6.0, -0.1, -1.2 
6.0, 33.3, -0.2, -7.2, -0.1, -1.2 
7.0, 33.2, -0.3, -8.4, -0.1, -1.2 
8.0, 33.1, -0.4, -9.6, -0.1, -1.2 
10.0, 32.9, -0.6, -11.9, -0.2, -2.4 
12.0, 32.7, -0.8, -14.3, -0.3, -2.4 
14.0, 32.4, -1.1, -16.6, -0.3, -2.3 
16.0, 32.0, -1.5, -19.0, -0.3, -2.3 
18.0, 31.7, -1.8, -21.3, -0.4, -2.3 
20.0, 31.2, -2.3, -23.6, -0.4, -2.3 
25.0, 30.0, -3.5, -29.2, -1.2, -5.6 
30.0, 28.6, -4.9, -34.7, -1.5, -5.5 
35.0, 26.9, -6.6, -40.0, -1.7, -5.3 
40.0, 25.0, -8.5, -45.2, -1.9, -5.2 
45.0, 23.0, -10.5, -50.2, -2.0, -5.0 
50.0, 20.8, -12.7, -55.0, -2.2, -4.8 
60.0, 16.0, -17.5, -64.3, -4.8, -9.3 
70.0, 10.9, -22.6, -73.1, -5.1, -8.8 
80.0, 10.9, -22.6, -85.1, 0.0, -12.0 
90.0, 10.9, -22.6, -97.4, -0.0, -12.3 
100.0, 10.9, -22.6, -109.9, 0.0, -12.5 
120.0, 10.9, -22.6, -137.6, 0.0, -27.8 
135.6, 10.9, -22.6, -180.0, 0.0, -42.4 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
