% hyscan_SZA_33p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 55.2, -1.3, 17.7, -1.3, 17.7 
7.0, 55.9, -0.6, 12.5, 0.7, -5.2 
5.0, 56.2, -0.3, 9.0, 0.3, -3.5 
3.5, 56.3, -0.2, 6.3, 0.2, -2.7 
3.0, 56.4, -0.1, -5.4, 0.0, -11.7 
3.5, 56.3, -0.2, -6.3, -0.0, -0.9 
4.0, 56.3, -0.2, -7.2, -0.0, -0.9 
5.0, 56.2, -0.3, -9.0, -0.1, -1.8 
6.0, 56.0, -0.5, -10.8, -0.1, -1.8 
7.0, 55.9, -0.6, -12.5, -0.2, -1.8 
8.0, 55.7, -0.8, -14.3, -0.2, -1.7 
10.0, 55.2, -1.3, -17.7, -0.5, -3.4 
12.0, 54.7, -1.8, -21.1, -0.6, -3.3 
14.0, 54.0, -2.5, -24.3, -0.6, -3.2 
16.0, 53.3, -3.2, -27.5, -0.7, -3.1 
18.0, 52.5, -4.0, -30.5, -0.8, -3.0 
20.0, 51.6, -4.9, -33.4, -0.9, -2.9 
25.0, 49.1, -7.4, -40.2, -2.5, -6.8 
30.0, 46.2, -10.3, -46.3, -2.9, -6.1 
35.0, 43.1, -13.4, -51.8, -3.1, -5.5 
40.0, 39.7, -16.8, -56.7, -3.4, -4.9 
45.0, 36.1, -20.4, -61.1, -3.6, -4.4 
50.0, 32.4, -24.1, -65.1, -3.7, -4.0 
60.0, 24.6, -31.9, -72.3, -7.8, -7.2 
70.0, 16.6, -39.9, -78.6, -8.1, -6.3 
80.0, 8.3, -48.2, -84.4, -8.2, -5.8 
90.0, 8.3, -48.2, -102.7, -0.0, -18.3 
100.0, 8.3, -48.2, -122.7, 0.0, -20.0 
115.2, 8.3, -48.2, -180.0, 0.0, -57.3 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
