% hyscan_SZA_14_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 72.9, -3.1, 36.1, -3.1, 36.1 
7.0, 74.4, -1.6, 26.9, 1.5, -9.2 
5.0, 75.2, -0.8, 19.9, 0.8, -7.0 
3.5, 75.6, -0.4, 14.2, 0.4, -5.7 
3.0, 75.7, -0.3, -12.2, 0.1, -26.4 
3.5, 75.6, -0.4, -14.2, -0.1, -2.0 
4.0, 75.5, -0.5, -16.1, -0.1, -1.9 
5.0, 75.2, -0.8, -19.9, -0.3, -3.8 
6.0, 74.8, -1.2, -23.5, -0.4, -3.6 
7.0, 74.4, -1.6, -26.9, -0.4, -3.4 
8.0, 73.9, -2.1, -30.2, -0.5, -3.2 
10.0, 72.9, -3.1, -36.1, -1.1, -5.9 
12.0, 71.6, -4.4, -41.3, -1.2, -5.2 
14.0, 70.3, -5.7, -45.9, -1.3, -4.6 
16.0, 68.9, -7.1, -49.8, -1.4, -4.0 
18.0, 67.3, -8.7, -53.3, -1.5, -3.5 
20.0, 65.8, -10.2, -56.4, -1.6, -3.1 
25.0, 61.6, -14.4, -62.6, -4.2, -6.2 
30.0, 57.2, -18.8, -67.3, -4.4, -4.7 
35.0, 52.6, -23.4, -70.9, -4.5, -3.7 
40.0, 48.0, -28.0, -73.9, -4.6, -3.0 
45.0, 43.3, -32.7, -76.4, -4.7, -2.5 
50.0, 38.6, -37.4, -78.5, -4.7, -2.1 
60.0, 29.0, -47.0, -82.0, -9.6, -3.5 
70.0, 19.4, -56.6, -85.0, -9.6, -2.9 
80.0, 9.7, -66.3, -87.6, -9.7, -2.6 
90.0, 9.7, -66.3, -133.3, 0.0, -45.8 
94.3, 9.7, -66.3, -180.0, 0.0, -46.7 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
