% hyscan_SZA_24p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 63.7, -1.8, 23.0, -1.8, 23.0 
7.0, 64.6, -0.9, 16.5, 0.9, -6.5 
5.0, 65.0, -0.5, 11.9, 0.4, -4.6 
3.5, 65.3, -0.2, 8.4, 0.2, -3.5 
3.0, 65.3, -0.2, -7.2, 0.1, -15.6 
3.5, 65.3, -0.2, -8.4, -0.1, -1.2 
4.0, 65.2, -0.3, -9.6, -0.1, -1.2 
5.0, 65.0, -0.5, -11.9, -0.2, -2.3 
6.0, 64.8, -0.7, -14.2, -0.2, -2.3 
7.0, 64.6, -0.9, -16.5, -0.2, -2.3 
8.0, 64.3, -1.2, -18.7, -0.3, -2.2 
10.0, 63.7, -1.8, -23.0, -0.6, -4.3 
12.0, 62.9, -2.6, -27.1, -0.8, -4.1 
14.0, 62.0, -3.5, -31.0, -0.9, -3.9 
16.0, 61.0, -4.5, -34.7, -1.0, -3.6 
18.0, 59.9, -5.6, -38.1, -1.1, -3.4 
20.0, 58.8, -6.7, -41.3, -1.2, -3.2 
25.0, 55.6, -9.9, -48.4, -3.2, -7.1 
30.0, 52.0, -13.5, -54.3, -3.6, -6.0 
35.0, 48.2, -17.3, -59.4, -3.8, -5.1 
40.0, 44.2, -21.3, -63.7, -4.0, -4.3 
45.0, 40.0, -25.5, -67.5, -4.1, -3.8 
50.0, 35.8, -29.7, -70.8, -4.3, -3.3 
60.0, 27.1, -38.4, -76.5, -8.7, -5.7 
70.0, 18.1, -47.4, -81.4, -8.9, -4.9 
80.0, 9.1, -56.4, -85.8, -9.0, -4.4 
90.0, 9.1, -56.4, -110.6, 0.0, -24.8 
100.0, 9.1, -56.4, -140.8, -0.0, -30.3 
105.4, 9.1, -56.4, -180.0, 0.0, -39.2 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
