% hyscan_SZA_50_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 39.3, -0.7, 13.0, -0.7, 13.0 
7.0, 39.6, -0.4, 9.1, 0.4, -3.9 
5.0, 39.8, -0.2, 6.5, 0.2, -2.6 
3.5, 39.9, -0.1, 4.6, 0.1, -2.0 
3.0, 39.9, -0.1, -3.9, 0.0, -8.5 
3.5, 39.9, -0.1, -4.6, -0.0, -0.7 
4.0, 39.9, -0.1, -5.2, -0.0, -0.7 
5.0, 39.8, -0.2, -6.5, -0.1, -1.3 
6.0, 39.7, -0.3, -7.8, -0.1, -1.3 
7.0, 39.6, -0.4, -9.1, -0.1, -1.3 
8.0, 39.5, -0.5, -10.4, -0.1, -1.3 
10.0, 39.3, -0.7, -13.0, -0.3, -2.6 
12.0, 39.0, -1.0, -15.5, -0.3, -2.5 
14.0, 38.6, -1.4, -18.0, -0.4, -2.5 
16.0, 38.2, -1.8, -20.5, -0.4, -2.5 
18.0, 37.7, -2.3, -23.0, -0.5, -2.5 
20.0, 37.2, -2.8, -25.4, -0.5, -2.4 
25.0, 35.6, -4.4, -31.3, -1.5, -5.9 
30.0, 33.8, -6.2, -37.0, -1.8, -5.7 
35.0, 31.8, -8.2, -42.4, -2.1, -5.4 
40.0, 29.5, -10.5, -47.6, -2.3, -5.2 
45.0, 27.0, -13.0, -52.5, -2.5, -4.9 
50.0, 24.4, -15.6, -57.3, -2.6, -4.7 
60.0, 18.7, -21.3, -66.1, -5.7, -8.9 
70.0, 12.7, -27.3, -74.4, -6.0, -8.3 
79.9, 12.7, -27.3, -87.4, 0.0, -13.0 
90.0, 12.7, -27.3, -100.9, 0.0, -13.5 
100.0, 12.7, -27.3, -114.9, 0.0, -14.0 
120.0, 12.7, -27.3, -149.2, 0.0, -34.2 
127.3, 12.7, -27.3, -180.0, 0.0, -30.8 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
