% hyscan_SZA_60p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 29.0, -0.5, 11.5, -0.5, 11.5 
7.0, 29.3, -0.2, 8.0, 0.2, -3.4 
5.0, 29.4, -0.1, 5.7, 0.1, -2.3 
3.5, 29.4, -0.1, 4.0, 0.1, -1.7 
3.0, 29.5, -0.0, -3.4, 0.0, -7.5 
3.5, 29.4, -0.1, -4.0, -0.0, -0.6 
4.0, 29.4, -0.1, -4.6, -0.0, -0.6 
5.0, 29.4, -0.1, -5.7, -0.0, -1.1 
6.0, 29.3, -0.2, -6.9, -0.1, -1.1 
7.0, 29.3, -0.2, -8.0, -0.1, -1.1 
8.0, 29.2, -0.3, -9.2, -0.1, -1.1 
10.0, 29.0, -0.5, -11.5, -0.2, -2.3 
12.0, 28.8, -0.7, -13.7, -0.2, -2.3 
14.0, 28.5, -1.0, -16.0, -0.3, -2.3 
16.0, 28.3, -1.2, -18.2, -0.3, -2.2 
18.0, 27.9, -1.6, -20.5, -0.3, -2.2 
20.0, 27.6, -1.9, -22.7, -0.4, -2.2 
25.0, 26.5, -3.0, -28.2, -1.1, -5.5 
30.0, 25.2, -4.3, -33.6, -1.3, -5.4 
35.0, 23.8, -5.7, -38.8, -1.5, -5.3 
40.0, 22.2, -7.3, -44.0, -1.6, -5.1 
45.0, 20.4, -9.1, -49.0, -1.8, -5.0 
50.0, 18.5, -11.0, -53.9, -1.9, -4.9 
60.0, 14.3, -15.2, -63.3, -4.2, -9.5 
70.0, 14.3, -15.2, -74.8, 0.0, -11.5 
79.9, 14.3, -15.2, -86.3, 0.0, -11.5 
90.0, 14.3, -15.2, -98.3, 0.0, -12.0 
100.1, 14.3, -15.2, -110.6, 0.0, -12.3 
119.9, 14.3, -15.2, -137.3, 0.0, -26.8 
136.2, 14.3, -15.2, -180.0, 0.0, -42.7 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
