% hyscan_SZA_43_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 46.1, -0.9, 14.5, -0.9, 14.5 
7.0, 46.5, -0.5, 10.2, 0.5, -4.3 
5.0, 46.8, -0.2, 7.3, 0.2, -2.9 
3.5, 46.9, -0.1, 5.1, 0.1, -2.2 
3.0, 46.9, -0.1, -4.4, 0.0, -9.5 
3.5, 46.9, -0.1, -5.1, -0.0, -0.7 
4.0, 46.9, -0.1, -5.9, -0.0, -0.7 
5.0, 46.8, -0.2, -7.3, -0.1, -1.5 
6.0, 46.7, -0.3, -8.8, -0.1, -1.5 
7.0, 46.5, -0.5, -10.2, -0.1, -1.4 
8.0, 46.4, -0.6, -11.6, -0.1, -1.4 
10.0, 46.1, -0.9, -14.5, -0.3, -2.9 
12.0, 45.7, -1.3, -17.3, -0.4, -2.8 
14.0, 45.2, -1.8, -20.1, -0.5, -2.8 
16.0, 44.7, -2.3, -22.8, -0.5, -2.7 
18.0, 44.1, -2.9, -25.5, -0.6, -2.7 
20.0, 43.4, -3.6, -28.1, -0.7, -2.6 
25.0, 41.5, -5.5, -34.4, -1.9, -6.3 
30.0, 39.3, -7.7, -40.2, -2.2, -5.9 
35.0, 36.8, -10.2, -45.8, -2.5, -5.5 
40.0, 34.1, -12.9, -50.9, -2.7, -5.1 
45.0, 31.1, -15.9, -55.7, -2.9, -4.8 
50.0, 28.0, -19.0, -60.2, -3.1, -4.5 
60.0, 21.4, -25.6, -68.5, -6.6, -8.3 
70.0, 14.5, -32.5, -76.1, -7.0, -7.6 
80.0, 14.5, -32.5, -90.8, 0.0, -14.8 
90.0, 14.5, -32.5, -106.1, 0.0, -15.3 
100.1, 14.5, -32.5, -122.8, 0.0, -16.8 
118.5, 14.5, -32.5, -180.0, -0.0, -57.2 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
