% hyscan_SZA_24_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 64.1, -1.9, 23.4, -1.9, 23.4 
7.0, 65.1, -0.9, 16.8, 0.9, -6.6 
5.0, 65.5, -0.5, 12.1, 0.5, -4.7 
3.5, 65.8, -0.2, 8.6, 0.2, -3.6 
3.0, 65.8, -0.2, -7.3, 0.1, -15.9 
3.5, 65.8, -0.2, -8.6, -0.1, -1.2 
4.0, 65.7, -0.3, -9.8, -0.1, -1.2 
5.0, 65.5, -0.5, -12.1, -0.2, -2.4 
6.0, 65.3, -0.7, -14.5, -0.2, -2.3 
7.0, 65.1, -0.9, -16.8, -0.2, -2.3 
8.0, 64.8, -1.2, -19.1, -0.3, -2.3 
10.0, 64.1, -1.9, -23.4, -0.7, -4.4 
12.0, 63.3, -2.7, -27.6, -0.8, -4.2 
14.0, 62.4, -3.6, -31.5, -0.9, -3.9 
16.0, 61.4, -4.6, -35.2, -1.0, -3.7 
18.0, 60.3, -5.7, -38.6, -1.1, -3.4 
20.0, 59.1, -6.9, -41.8, -1.2, -3.2 
25.0, 55.9, -10.1, -48.9, -3.3, -7.1 
30.0, 52.3, -13.7, -54.8, -3.6, -5.9 
35.0, 48.4, -17.6, -59.8, -3.8, -5.0 
40.0, 44.4, -21.6, -64.1, -4.0, -4.3 
45.0, 40.2, -25.8, -67.9, -4.2, -3.7 
50.0, 36.0, -30.0, -71.2, -4.3, -3.3 
60.0, 27.2, -38.8, -76.8, -8.8, -5.6 
70.0, 18.2, -47.8, -81.6, -9.0, -4.8 
80.0, 9.1, -56.9, -85.9, -9.1, -4.3 
90.0, 9.1, -56.9, -111.1, 0.0, -25.3 
100.0, 9.1, -56.9, -142.4, 0.0, -31.3 
104.9, 9.1, -56.9, -180.0, 0.0, -37.6 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
