% hyscan_SZA_25p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 62.7, -1.8, 22.3, -1.8, 22.3 
7.0, 63.6, -0.9, 15.9, 0.9, -6.4 
5.0, 64.0, -0.5, 11.5, 0.4, -4.4 
3.5, 64.3, -0.2, 8.1, 0.2, -3.4 
3.0, 64.3, -0.2, -6.9, 0.1, -15.0 
3.5, 64.3, -0.2, -8.1, -0.1, -1.1 
4.0, 64.2, -0.3, -9.2, -0.1, -1.1 
5.0, 64.0, -0.5, -11.5, -0.2, -2.3 
6.0, 63.8, -0.7, -13.7, -0.2, -2.2 
7.0, 63.6, -0.9, -15.9, -0.2, -2.2 
8.0, 63.4, -1.1, -18.1, -0.3, -2.2 
10.0, 62.7, -1.8, -22.3, -0.6, -4.2 
12.0, 62.0, -2.5, -26.3, -0.7, -4.0 
14.0, 61.1, -3.4, -30.1, -0.9, -3.8 
16.0, 60.2, -4.3, -33.7, -1.0, -3.6 
18.0, 59.1, -5.4, -37.0, -1.0, -3.4 
20.0, 58.0, -6.5, -40.2, -1.1, -3.2 
25.0, 54.9, -9.6, -47.3, -3.1, -7.1 
30.0, 51.4, -13.1, -53.3, -3.5, -6.0 
35.0, 47.7, -16.8, -58.4, -3.7, -5.1 
40.0, 43.7, -20.8, -62.8, -3.9, -4.4 
45.0, 39.7, -24.8, -66.7, -4.1, -3.9 
50.0, 35.5, -29.0, -70.1, -4.2, -3.4 
60.0, 26.8, -37.7, -76.0, -8.6, -5.9 
70.0, 18.0, -46.5, -81.1, -8.8, -5.1 
80.0, 9.0, -55.5, -85.7, -9.0, -4.6 
90.0, 9.0, -55.5, -109.4, 0.0, -23.8 
100.0, 9.0, -55.5, -137.9, 0.0, -28.5 
106.5, 9.0, -55.5, -180.0, 0.0, -42.1 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
