% hyscan_SZA_15p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 71.6, -2.9, 33.4, -2.9, 33.4 
7.0, 73.0, -1.5, 24.7, 1.4, -8.7 
5.0, 73.7, -0.8, 18.1, 0.7, -6.5 
3.5, 74.1, -0.4, 12.9, 0.4, -5.2 
3.0, 74.2, -0.3, -11.1, 0.1, -24.0 
3.5, 74.1, -0.4, -12.9, -0.1, -1.8 
4.0, 74.0, -0.5, -14.7, -0.1, -1.8 
5.0, 73.7, -0.8, -18.1, -0.3, -3.5 
6.0, 73.4, -1.1, -21.5, -0.3, -3.3 
7.0, 73.0, -1.5, -24.7, -0.4, -3.2 
8.0, 72.6, -1.9, -27.7, -0.4, -3.1 
10.0, 71.6, -2.9, -33.4, -1.0, -5.7 
12.0, 70.5, -4.0, -38.5, -1.1, -5.1 
14.0, 69.2, -5.3, -43.0, -1.3, -4.5 
16.0, 67.9, -6.6, -47.0, -1.4, -4.0 
18.0, 66.4, -8.1, -50.6, -1.5, -3.5 
20.0, 64.9, -9.6, -53.7, -1.5, -3.1 
25.0, 60.8, -13.7, -60.2, -4.0, -6.5 
30.0, 56.6, -17.9, -65.2, -4.3, -5.0 
35.0, 52.1, -22.4, -69.1, -4.4, -3.9 
40.0, 47.6, -26.9, -72.3, -4.5, -3.2 
45.0, 43.0, -31.5, -75.0, -4.6, -2.7 
50.0, 38.3, -36.2, -77.4, -4.7, -2.3 
60.0, 28.8, -45.7, -81.2, -9.5, -3.9 
70.0, 19.2, -55.3, -84.4, -9.6, -3.2 
80.0, 9.6, -64.9, -87.3, -9.6, -2.9 
90.0, 9.6, -64.9, -127.8, 0.0, -40.5 
95.9, 9.6, -64.9, -180.0, 0.0, -52.2 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
