% hyscan_SZA_45p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 43.7, -0.8, 13.9, -0.8, 13.9 
7.0, 44.1, -0.4, 9.8, 0.4, -4.1 
5.0, 44.3, -0.2, 7.0, 0.2, -2.8 
3.5, 44.4, -0.1, 4.9, 0.1, -2.1 
3.0, 44.4, -0.1, -4.2, 0.0, -9.1 
3.5, 44.4, -0.1, -4.9, -0.0, -0.7 
4.0, 44.4, -0.1, -5.6, -0.0, -0.7 
5.0, 44.3, -0.2, -7.0, -0.1, -1.4 
6.0, 44.2, -0.3, -8.4, -0.1, -1.4 
7.0, 44.1, -0.4, -9.8, -0.1, -1.4 
8.0, 44.0, -0.5, -11.1, -0.1, -1.4 
10.0, 43.7, -0.8, -13.9, -0.3, -2.7 
12.0, 43.3, -1.2, -16.6, -0.4, -2.7 
14.0, 42.9, -1.6, -19.3, -0.4, -2.7 
16.0, 42.4, -2.1, -21.9, -0.5, -2.6 
18.0, 41.8, -2.7, -24.5, -0.6, -2.6 
20.0, 41.2, -3.3, -27.0, -0.6, -2.5 
25.0, 39.4, -5.1, -33.2, -1.8, -6.1 
30.0, 37.4, -7.1, -39.0, -2.1, -5.8 
35.0, 35.0, -9.5, -44.5, -2.3, -5.5 
40.0, 32.5, -12.0, -49.6, -2.6, -5.2 
45.0, 29.7, -14.8, -54.5, -2.8, -4.9 
50.0, 26.8, -17.7, -59.1, -2.9, -4.6 
60.0, 20.5, -24.0, -67.6, -6.3, -8.5 
70.0, 13.9, -30.6, -75.4, -6.6, -7.8 
79.9, 13.9, -30.6, -89.4, 0.0, -14.0 
89.9, 13.9, -30.6, -103.9, 0.0, -14.5 
99.9, 13.9, -30.6, -119.4, 0.0, -15.5 
120.0, 13.9, -30.6, -164.7, 0.0, -45.2 
121.6, 13.9, -30.6, -180.0, 0.0, -15.3 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
