% hyscan_SZA_52_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 37.3, -0.7, 12.6, -0.7, 12.6 
7.0, 37.7, -0.3, 8.9, 0.3, -3.8 
5.0, 37.8, -0.2, 6.3, 0.2, -2.5 
3.5, 37.9, -0.1, 4.4, 0.1, -1.9 
3.0, 37.9, -0.1, -3.8, 0.0, -8.2 
3.5, 37.9, -0.1, -4.4, -0.0, -0.6 
4.0, 37.9, -0.1, -5.1, -0.0, -0.6 
5.0, 37.8, -0.2, -6.3, -0.1, -1.3 
6.0, 37.8, -0.2, -7.6, -0.1, -1.3 
7.0, 37.7, -0.3, -8.9, -0.1, -1.3 
8.0, 37.6, -0.4, -10.1, -0.1, -1.3 
10.0, 37.3, -0.7, -12.6, -0.2, -2.5 
12.0, 37.0, -1.0, -15.1, -0.3, -2.5 
14.0, 36.7, -1.3, -17.6, -0.3, -2.5 
16.0, 36.3, -1.7, -20.0, -0.4, -2.4 
18.0, 35.8, -2.2, -22.4, -0.4, -2.4 
20.0, 35.3, -2.7, -24.8, -0.5, -2.4 
25.0, 33.9, -4.1, -30.6, -1.4, -5.8 
30.0, 32.2, -5.8, -36.2, -1.7, -5.6 
35.0, 30.3, -7.7, -41.6, -1.9, -5.4 
40.0, 28.1, -9.9, -46.8, -2.1, -5.2 
45.0, 25.8, -12.2, -51.8, -2.3, -5.0 
50.0, 23.3, -14.7, -56.5, -2.5, -4.8 
60.0, 17.9, -20.1, -65.5, -5.4, -9.0 
70.0, 12.2, -25.8, -74.0, -5.8, -8.5 
80.0, 12.2, -25.8, -86.7, 0.0, -12.8 
90.0, 12.2, -25.8, -99.7, 0.0, -13.0 
100.0, 12.2, -25.8, -113.2, 0.0, -13.5 
120.0, 12.2, -25.8, -144.7, 0.0, -31.5 
129.8, 12.2, -25.8, -180.0, 0.0, -35.3 
NaN, NaN, NaN, NaN, NaN, NaN 
NaN, NaN, NaN, NaN, NaN, NaN 
