Wavelength,Lamps-00,Lamps-01,Lamps-02,Lamps-03,Lamps-04,Lamps-05,Lamps-06,Lamps-07,Lamps-08,Lamps-09,Lamps-10,Lamps-11,Lamps-12
750.000000,0.000047,70.325058,132.304800,191.529891,253.177471,313.740814,373.202858,434.781895,495.761029,554.877597,615.421074,678.821255,740.442951
760.000000,0.000374,70.999098,133.480360,193.226189,255.401920,316.500846,376.481931,438.574843,500.046329,559.746308,620.705011,684.658993,746.927411
770.000000,0.000440,71.956968,135.222553,195.745684,258.734299,320.602374,381.346571,444.198390,506.461925,567.047064,628.804730,693.514743,756.260647
780.000000,0.000196,72.891281,136.933237,198.230543,261.988227,324.665143,386.138657,449.773915,512.786721,574.206453,636.747622,702.140257,765.543110
790.000000,0.000402,73.476405,137.975713,199.728303,263.995909,327.150731,389.089847,453.185227,516.674336,578.536513,641.486124,707.436086,771.375691
800.000000,0.000322,73.917814,138.766239,200.903537,265.544984,329.067871,391.379516,455.808774,519.635294,581.820856,645.122031,711.475336,775.778511
810.000000,0.001021,74.224834,139.311876,201.723191,266.630981,330.428638,392.980233,457.679757,521.746422,584.130491,647.700525,714.254224,778.726125
820.000000,0.000994,74.401594,139.628883,202.183272,267.248980,331.209445,393.871080,458.711800,522.919021,585.474576,649.228712,715.804588,780.477421
830.000000,0.002182,74.486673,139.764068,202.380215,267.528074,331.553084,394.268404,459.129991,523.393590,586.217704,649.964269,716.521377,781.282765
840.000000,0.005219,74.558392,139.862095,202.554779,267.761889,331.846696,394.618815,459.477046,523.776344,586.475222,650.480301,717.060950,781.898884
850.000000,0.005591,74.484410,139.691549,202.367457,267.495552,331.504375,394.195041,458.928441,523.136915,586.009524,649.723518,716.275822,780.936324
860.000000,0.008192,74.563541,139.811025,202.521396,267.678612,331.768026,394.478010,459.256731,523.283742,586.401093,650.320217,716.711024,781.636052
870.000000,0.008693,74.382371,139.446048,201.991943,266.999881,330.941537,393.486064,458.015196,521.898600,585.005061,648.491862,714.835092,779.560123
880.000000,0.009030,74.215715,139.120467,201.536042,266.383255,330.197301,392.567662,456.966606,520.928549,583.631960,646.952312,713.316526,777.829914
890.000000,0.008798,73.975888,138.673648,200.923216,265.584708,329.184252,391.400012,455.504828,519.262122,581.819774,645.114605,711.064893,775.546894
900.000000,0.008473,73.566135,137.877171,199.792773,264.083215,327.351066,389.200276,452.911990,516.414197,578.562889,641.491143,707.035480,771.275998
910.000000,0.007787,73.101190,136.989409,198.545048,262.445031,325.348945,386.802182,450.328355,513.361603,575.098990,637.649720,702.794063,766.630561
920.000000,0.006260,72.683622,136.212621,197.450506,260.985718,323.552389,384.651840,447.795648,510.402476,571.873207,634.133796,698.912656,762.479988
930.000000,0.006291,71.620803,134.283366,194.652536,257.327807,319.034244,379.220165,441.744752,503.426450,563.921164,625.560502,688.945476,752.250335
940.000000,0.005036,70.683218,132.590790,192.196666,254.128128,315.091107,374.519354,436.218722,497.184981,556.951157,617.963216,680.180928,743.207567
950.000000,0.005027,70.392090,132.027468,191.417561,253.097964,313.832505,373.037602,434.556233,495.236933,554.774170,615.422959,677.469560,739.920909
960.000000,0.003007,70.033837,131.349550,190.478127,251.836256,312.252231,371.242769,432.307465,492.634675,552.060911,612.160277,674.296585,735.895950
970.000000,0.001923,69.483572,130.317989,189.053853,249.946282,309.931344,368.525621,429.003655,488.868133,547.973178,607.394963,669.311832,730.169414
980.000000,0.001301,68.931970,129.276122,187.614232,248.091010,307.630775,365.829587,425.838519,485.200916,543.964947,603.137165,664.812030,724.813469
990.000000,0.000640,68.381291,128.252048,186.179337,246.200677,305.323121,363.103546,422.615442,481.681609,539.565502,598.683039,659.847321,719.388085
1000.000000,0.000832,67.926749,127.400794,184.966775,244.578489,303.386519,360.770810,419.867910,478.637311,536.563345,594.689057,655.652811,714.969430
1010.000000,0.000571,67.526665,126.633401,183.925327,243.209032,301.687888,358.727644,417.419073,475.780187,533.528108,591.669614,652.038098,711.053283
1020.000000,0.000000,67.152789,125.957880,182.946586,241.871504,300.055655,356.933776,415.498606,472.891512,530.800255,588.643688,648.729792,707.443838
1030.000000,0.000474,66.894309,125.521905,182.328365,241.106126,299.068160,355.729745,413.742884,471.900695,529.443646,586.593436,646.581091,705.103933
1040.000000,0.001461,66.503765,124.648654,181.058421,239.469947,296.952830,353.192865,410.999553,467.904456,524.529755,582.692408,642.214769,701.997285
1050.000000,0.133919,64.954439,121.620195,176.351929,233.589069,289.381842,344.052369,399.885357,456.063694,510.787240,566.161989,623.879695,679.972371
1060.000000,0.009004,64.013766,120.782445,175.110340,231.546445,287.198928,341.385525,396.979679,452.747068,507.097338,561.850018,619.370636,674.542937
